word,definition
cálcio," Metal branco e amarelado, que se extrai da cal. Metal, que, combinado com o oxigénio, constitue a cal. "
cama hospitalar,NA
câmara escura para radiografia,NA
campo cirúrgico,NA
câncer, Uma das constelações do Zodíaco. Cancro. 
cânula, Tubo de vários instrumentos cirúrgicos. 
cânula de traqueostomia,NA
cardiologia, Tratado do coração. 
cárie," Ulceração nos dentes e ossos, que os destrói progressivamente. Caruncho. Doença dos vegetais, semelhante à cárie. Destruição progressiva. "
catarro," Fluxão nas membranas mucosas. Bronquite. Constipação, acompanhada de tosse. "
cateter," Sonda, que se emprega na operação da talha. "
cauterização, Acto de _cauterizar_. 
cefaleia, Dor violenta de cabeça. 
celulite (infecciosa),NA
cervicite," Inflamação do colo uterino; metrite, localizada no colo do útero. "
cicatrização, Acto de cicatrizar. 
ciclo cardíaco,NA
cirurgia," Parte da Medicina, que trata principalmente de lesões externas, e dos processos manuais ou operações com que elas se curam, bem como de operações que facilitam ou tornam possível o tratamento de lesões internas. "
cistite, Inflamação da bexiga. 
citologia, Estudo da célula em geral. 
clareamento dental,NA
coagulopatia,NA
colectomia,NA
colostomia,NA
colposcópio,NA
comorbidade,NA
complicação, Acto e efeito de complicar. 
condiloma," Pequeno tumor no ânus, determinado pela hipertrofia da derme. "
conjuntivite, Inflamação da conjuntiva. 
constipação," Estado mórbido, com diferentes caracteres, tais como: defluxão, calafrios, prisão de ventre, etc. "
conta-gotas," Instrumento, com que se contam as gotas de um medicamento ou de outro líquido. "
contaminação, Acto ou efeito de contaminar. Infecção. 
contraste (radiológico),NA
convalescença, Acto de convalescer. 
convulsão," Acto de convellir. Contracção muscular, produzida por doença. Cataclismo. Grande agitação. Grande transformação. Revolução. "
coriorretinite,NA
corticoide,NA
criocirurgia,NA
criptorquidia," Ausência dos testículos nas bolsas, em virtude da sua retenção no abdómen ou no canal inguinal. "
crónico, Que dura há muito tempo. 
cura, Acto ou efeito de curar. Tratamento. Restabelecimento da saúde. 
cureta periodontal,NA
curetagem,NA
cútis, Pele das pessoas. Epiderme; tez. 
de," Exprime restrição da palavra que a precede: _filho de Pedro_. Ligação dos verbos auxiliares com o infinito de outros verbos: _ter de fugir_. Relação de movimento, proveniência, propriedade, carácter, profissão. Estado. Naturalidade: _sou de Portugal_. Situação, causa: _morrer de febre amarela_. Mudança: _saiu de Lisboa_. Conformidade. Formação: _estátua de pedra_. Instrumento: _a golpes de faca_. Dimensão: _um metro de altura_. Modo; e às vezes é elemento de loc. prep. e adv.: _resolveu de per si_. "
débito cardíaco,NA
decúbito, Posição de quem está deitado. 
defecação, Acto de defecar. 
deglutição, Acto de deglutir. 
demografia, Estatística da população. 
dente de leite,NA
deo,NA
depressão, Acto de deprimir. Abaixamento por efeito de pressão. Diminuição. Terreno mais baixo que o que lhe fica aos lados. Pequena cavidade. 
dermabrasão,NA
dermatologia, Tratado da pele. 
desfibrilação,NA
desfibrilador,NA
desidratação, Acto de desidratar. 
desinfecção, Acto ou efeito de desinfectar. 
desinfetante,NA
dextrocardia," Deslocamento do coração para o lado direito, em consequência de um tumor intra-torácico ou de outro incidente mórbido. "
diagnóstico," Conhecimento ou determinação de uma doença, pela observação dos seus sintomas. Conjunto dos sintomas, em que se funda essa determinação. "
diagnóstico diferencial,NA
dialética,NA
diálise," Acto de dialisar. Faculdade que possuem as membranas, de deixar passar através dos seus poros certas substâncias, com exclusão de outras. Cf. _Museu Techn._, 90. "
diapedese,NA
dieta," Modo de empregar o que é necessário à conservação da vida, tanto em saúde como em doença. Hvgiene. Abstenção de alguns ou de todos os alimentos, em caso de doença. Privação de alimento. "
diferenciação celular,NA
difusão, Acto de difundir. Prolixidade. 
digestão," Elaboração dos alimentos nas vias digestivas, ou função orgânica, caracterizada pela dissolução, liquefacção, e absorção dos alimentos, com dejecção dos resíduos. Acto de digerir, (em sentido fig). "
dilatação e curetagem,NA
dismenorreia," Corrimento menstrual, difícil e doloroso. Dificuldade da menstruação. "
dispepsia, Dificuldade na digestão. Má digestão. 
displasia cervical,NA
dispnéia,NA
distensão, Acto ou efeito de distender. Torção violenta dos ligamentos de uma articulação. 
distensão abdominal,NA
diurese, Secreção copiosa de urina. 
diurético, Que facilita a secreção urinária. 
diverticulite,NA
doença, Alteração na saúde. Falta de saúde. Moléstia. Mal. 
dorsalgia,NA
drenagem linfática,NA
duodenoscopia,NA
eclampsia," Doença convulsiva, que se manifesta nas crianças e nas puérperas, acompanhada ordinariamente da perda dos sentidos. "
ecografia,NA
ecopraxia,NA
edema," Inchação, formada por serosidade infiltrada no tecido celular, sem vermelhidão nem dor, e que desaparece com uma demorada pressão de dedos. "
edema pulmonar,NA
efeito placebo,NA
efusão, Acto de efundir. 
eletrocardiógrafo,NA
eletrocardiograma,NA
eletrocautério,NA
eletrocauterização,NA
eletrocoagulação,NA
embriologia, Tratado da formação e desenvolvimento do embrião. 
emergência, Acto de emergir. 
emergência médica,NA
empiema, Ajuntamento de pus ou sangue numa cavidade do corpo. 
encefalite, Inflamação do encéfalo. 
endarterectomia,NA
endemia," Doença, que grassa num povo ou numa região, e que depende de causas meramente locais. "
endocrinologia,NA
endometrite,NA
endoscopia, Aplicação do endoscópio. 
enema," Medicamento, com que os antigos tratavam feridas. Clister. Cf. Júl. Ribeiro, _Gram._, 156. "
enterocolite," Nome, que também se dá à enterite, porque esta tem geralmente a sua sede no intestino delgado e no cólon. "
enxaqueca," Dor, em parte da cabeça; hemicrania. "
enzima," Fermento solúvel, de diástese e zímase. "
eosinofilia,NA
epicondilite,NA
epidemia," Doença, que ataca muitos indivíduos, ao mesmo tempo e na mesma terra ou região. "
epididimite, Inflamação do epidídimo. 
epífise," Saliência óssea, que, unida a um osso por uma cartilagem, se converte em apófise, pelo desenvolvimento da ossificação. "
epiglotite, Inflamação da epiglote. 
epilepsia," Doença cerebral, caracterizada por convulsões e pela perda dos sentidos. "
episiotomia,NA
equimose," Mancha avermelhada ou escura, formada na pele por sangue extravasado em consequência de contusão. "
equipamento de endoscopia,NA
equipamento de laparoscopia,NA
eritema,NA
eructação, Arroto. 
escabiose,NA
esclerodermia, O mesmo que _escleroderma_. 
esclerose, Qualquer endurecimento mórbido dos tecidos. 
escova cirúrgica,NA
esfigmomanômetro,NA
esfíncter," Cada um dos músculos circulares, que, sob a acção da vontade, abrem ou fecham outras tantas cavidades do corpo humano. "
espasmo," Contracção involuntária dos músculos, mormente dos que não estão sujeitos à vontade. Convulsão. "
espátula de ayre,NA
espectrofotometria,NA
espéculo," Instrumento cirúrgico, com que se observam certas cavidades do corpo humano. "
espelho bucal,NA
esplenectomia, O mesmo ou melhor que _esplenotomia_. 
espondilite, Inflamação vertebral. 
essuscitação cardiopulmonar,NA
estabilização, Acto ou efeito de estabilizar. 
estadiamento,NA
estenose, Aperto de qualquer canal orgânico. 
esterilidade, Qualidade de estéril. 
estetoscópio," Instrumento cirúrgico, para auscultação. "
estimulador elétrico nervoso transcutâneo (tens),NA
estímulo, Aquilo que estimula. Aguilhão. Incentivo. 
estiramento, Acto ou efeito de estirar. 
estômago," Víscera, em que se faz a digestão dos alimentos. Parte exterior do corpo, correspondente à região estomacal: _uma pancada no estômago_. "
estomatite, Inflamação da mucosa da boca. 
estomatologia, Estudo da boca e das suas moléstias. 
estrabismo, Qualidade de quem é vesgo. 
estresse,NA
estrongiloidíase,NA
estrutura,NA
estudo duplo-cego,NA
estupor," Afroixamento das faculdades intelectuais, por doença. Paralisia. Hemiplegia. "
esvaziamento, Acto ou efeito de esvaziar. 
eutanásia,NA
evacuação, Acto de evacuar. Acto de sair de uma praça que estava ocupada militarmente. Acto de expelir os excrementos. Matérias evacuadas. 
evasão, Acto de evadir-se. 
eventração," Hérnia, nas paredes abdominais, em resultado de uma abertura acidental. Ferida penetrante do abdómen, dando saída a uma porção de vísceras. "
evolução," Acto de mover-se progressivamente: _em política, prefere-se a evolução à revolução_. Desenvolvimento. Movimento regular de tropas ou de uma esquadra ou de um navio, mudando de posição. Giros de algumas aves, voando. "
exacerbação, Acto ou efeito de exacerbar. 
exame," Observação ou investigação minuciosa e atenta. Análise; revista: _os médicos fizeram-lhe exame dos ferimentos_. Interrogatório. Demonstração, mais ou menos solene, de competência para o exercício de um cargo. Prova de habilitação ou não habilitação em algum ramo de conhecimentos humanos: _fez exame de inglês_. "
exame de sangue,NA
exantema," Qualquer doença cutânea, caracterizada por uma vermelhidão mais ou menos viva, sem pústulas. "
excisão, Acto de cortar. Amputação; ablação de uma parte de um todo. 
excreção," Acção, com que certos órgãos expelem de si as matérias sólidas ou líquidas que contém. Substância excrementícia. "
exercício," Acto de exercer ou de exercitar. Conjunto dos movimentos espontâneos do corpo. Movimentos calculados e metódicos, em ginástica. Aquilo com que se exercitam as faculdades morais e intelectuais. Recreio. Prática, uso. Manobras militares, para instrução. "
exérese,NA
exocitose,NA
exoftalmia, O mesmo que _exoftalmo_. 
expansão torácica,NA
expectoração, Acto de expectorar. 
exposição (radiológica),NA
expulsão, Acto ou efeito de expulsar. Acto de expelir. Secreção. 
extensão," Efeito de estender. Qualidade daquilo que é extenso. Dimensão. Porção de espaço ou de tempo. Superfície. Operação, em que se estende a parte inferior de um osso fracturado. Doença no tendão flexor do pé do cavalo. Ampliação. Desenvolvimento. Intensidade. Vastidão: _a extensão do Oceano_. "
extirpação, Acto ou efeito de extirpar. 
extravasamento, O mesmo que _extravasação_. 
extubação,NA
fadiga," Cansaço, resultante de trabalho excessivo. Faina; lida; trabalho. "
falência orgânica,NA
faringe," Cavidade músculo-membranosa, entre a boca e a parte superior do esófago. "
faringite, Inflamação da faringe. 
farmacêutico, Relativo a farmácia. 
farmacologia," Parte da matéria médica, que tem por objecto fazer conhecer os medicamentos e ensinar a aplicação deles. "
fascia,NA
fáscia,NA
fasciotomia,NA
fascite,NA
fase," Cada um dos aspectos diversos da Lua e de outros planetas, segundo a maneira, com que recebem a luz do Sol. Cada uma das modificações sucessivas que se notam em certas coisas: _as fases de uma questão_. Cada um dos diferentes aspectos que uma coisa apresenta sucessivamente: _as fases da vida_. "
febre," Estado mórbido, caracterizado pela aceleração do pulso e aumento de calor. "
febre amarela,NA
fecundação, Acto ou efeito de fecundar. 
fecundação in vitro,NA
feixe, Gavela; braçado. Molho. 
fêmur," Osso, que constitue a parte sólida da coxa da perna. Coxa. Nó superior das patas dos insectos. "
fenda, Abertura de objecto fendido; fisga; racha. 
fenótipo,NA
ferida, Chaga; golpe; úlcera. 
fermentação," Reacção espontânea de um corpo orgânico, pela presença de um fermento que o decompõe. "
fertilidade, Qualidade do que é fértil. Fecundidade. 
feto,NA
fibra," O mesmo que _fêvera_. Elemento anatómico, longo e frágil. "
fibrose,NA
fibrose cística,NA
fígado," Víscera volumosa, parte da qual produz a bílis, em-quanto a outra parte produz a substância açucarada que passa aos pulmões, servindo aos actos respiratórios. "
filtração, Acto de filtrar. 
fimose," Aperto natural ou acidental, que não deixa que o prepúcio se retire para trás. "
fisiologia," Ciência, que trata das funções dos órgãos nos seres vivos, vegetais e animais. Tratado de Fisiologia. "
fissão,NA
fissura, Fenda. Úlcera na mucosa do ânus. 
fissura anal,NA
fístula," Úlcera, de abertura estreita, e comunicando com uma cavidade natural. "
fístula arteriovenosa,NA
fixação," Acto de fixar. Operação química, com que se torna fixo um corpo volátil. "
flacidez, Estado ou qualidade daquilo que é flácido. 
flebite, Inflamação da membrana interna das veias. 
flebotomia, Sangria; arte de sangrar. 
flora," Conjunto das plantas, que crescem em determinada região. Tratado, acerca dessas plantas. Pequeno planeta, entre Marte e Clio. "
fluorescência," Iluminação especial, que apresentam certas substâncias, quando expostas à acção dos raios químicos. "
fluxo," Preamar, enchente fluvial. "
fobia," Designação genérica das diferentes espécies de medo mórbido, como agorafobia, a talassofobía, etc. "
foliculite, Inflamação dos folículos pilosos. 
folículo," Pequeno fole. Vesícula. Vagem de uma só sutura longitudinal. Pequena cavidade nas glândulas, entre as extremidades das artérias, veias e canais secretores. "
fontanela," Parte membranosa do crânio das crianças. Fonte aberta por operação cirúrgica, como revulsivo. Fontículo. "
forame," Abertura, cova. "
fórmula," Expressão de um preceito ou de um principio. Receita, escrita por um médico ou indicada em algum receituário ou pharmacopeia. Expressão matemática, para resolver problemas análogos. Palavras, que servem invariavelmente na celebração de certos actos solenes. "
fossa," Cova. Cavidade subterrânea, em que se recolhem imundícies. Pequena cavidade natural no queixo ou na face. "
fotofobia, Aversão à luz. 
frasco de coleta de urina,NA
fratura,NA
frênulo,NA
fricção, Acto de friccionar. Medicamento para fomentações. 
frontal, Relativo a fronte: _osso frontal_. 
fungicida, Que destrói os fungos ou fungões. 
fungo, Excrescência na pele ou nas mucosas em forma de cogumelo. Fungão^2. 
gânglio," Pequeno corpo cinzento e arredondado, que se encontra no trajecto dos nervos. "
garganta," O mesmo que _laringe_. Parte interior do pescoço, por onde os alimentos passam da boca ao estômago. Pescoço. Gomo da cana de açúcar. Abertura estreita. Desfiladeiro; passagem estreita entre montanhas. Moldura reentrante. "
garrote," Pau curto, com que se apertava a corda do enforcado. Estrangulação, sem que se suspenda a vítima. (Talvez de _garra_) "
gasometria,NA
gastroenterite, Inflamação simultânea do estômago e dos intestinos. 
gastroenterologia,NA
gastroplastia," Operação, para fazer desaparecer um estreitamento do estômago ou para se fechar o orifício de uma úlcera do mesmo órgão. "
gastrost,NA
gastrostomia," Abertura de uma boca estomocal, pela qual se introduzam alimentos. "
gel condutor para ultrassom,NA
gene,NA
genealogia, Série ascendente ou descendente de antepassados. Linhagem. Exposição das origens e ramificações de uma família. 
genética,NA
genoma,NA
genótipo,NA
geriatria,NA
germicida, Que destrói os germes ou embriões. 
gestação," Tempo, que medeia entre a concepção e o nascimento dos mamíferos. Gravidez. "
ginecomastia,NA
glicemia, Existência normal da glicose no sangue. 
glicogênio,NA
glicose, Açúcar de uvas ou do amido. 
glicosímetro,NA
glicosúria,NA
glomerulonefrite,NA
glucagon,NA
glutamina,NA
gônada,NA
gonadotrofina,NA
goniometria, Arte de medir ângulos. 
gonorreia, Corrimento mucoso pelo canal da uretra. 
gordura," Substância animal untuosa e de pouca consistência, que se derrete facilmente. Qualidade de quem ou daquilo que é gordo. "
gradiente,NA
granulação," Acto ou efeito de granular^2. Granito. Porção de glóbulos, na superfície de um órgão ou de uma membrana. "
granuloma," Tumor, formado de tecido granuloso. "
gravidez," Qualidade ou estado de grávido. Estado da mulher e das fêmeas em geral, durante o tempo em que se desenvolve o respectivo embrião. Gestação; prenhez. "
hábito," Costume. Uso. Vestuário. Roupagem de frade ou freira. Aspecto, aparência. "
hálito," Ar que sai dos pulmões, depois de aspirado. Cheiro; exalação. Viração. "
hemácias,NA
hematêmese,NA
hematologia, Tratado teórico acerca do sangue. 
hematoma," Tumor sanguíneo, resultante de contusão, da ruptura de varizes, etc. "
hematopoese,NA
hematuria, Fluxo de sangue pela uretra. 
hemocultura,NA
hemodialise,NA
hemodiálise,NA
hemofilia," Alteração no sangue, em virtude da qual é difícil estancar o que sai pelo nariz ou por qualquer ferimento. "
hemoglobina," Substância, que constitue os 9/10 do peso dos princípios fixos dos glóbulos sanguíneos. "
hemograma,NA
hemoptise, Hemorragia da membrana mucosa do pulmão. Expectoração de sangue. 
hemorragia, Derramamento de sangue para fora dos vasos que o devem conter. 
hemorroida,NA
hemostasia, 
hepatectomia,NA
hepatite, Inflamação do fígado. 
hepatologia, Tratado acerca do fígado. 
hérnia," Tumor, produzido pela saída ou deslocação de uma víscera. "
hérnia discal,NA
herpes, Afeção vesiculosa da pele. 
hidratação," Acto de hidratar. Cf. _Techn. Rur._, 113 e 347. "
hidrocefalia," Hidropisia cerebral, chamada vulgarmente _cabeça de água_. "
hidropsia,NA
hidroterapia," Tratamento de doenças, por meio de água fria, em aplicações exteriores. "
hiperemia, Superabundância de sangue em qualquer parte do corpo. 
hiperplasia," Proliferação celular anormal, que origina inflamação ou tumores. "
hipertensão,NA
hipertrofia," Desenvolvimento excessivo de um órgão ou de uma parte de um órgão, sem alteração real do seu tecido. "
hiperventilação,NA
hipnose," Estado particular, caracterizado pelo sono nervoso e pela sugestão. "
hipoalergênico,NA
hipocalemia,NA
hipófise, A glândula pituitária. 
hipotálamo,NA
hipotermia, Abaixamento anormal da temperatura do corpo ou de uma parte do corpo. 
hipotireoidismo,NA
hipoventilação,NA
histerectomia, Ablação do útero ou de parte dele. 
histologia, Exposição científica das leis que presidem à formação e disposição dos tecidos orgânicos. 
histopatologia,NA
histoplasma,NA
história clínica,NA
hiv,NA
homeopatia," Sistema de tratar doenças por meio de agentes, que podem determinar afecção análoga à que se procura debelar. "
homeostase,NA
homogêneo," Que tem a mesma natureza, ou que é do mesmo género que outro objecto. Idêntico. "
hormônio,NA
hormônio luteinizante,NA
hospedeiro, Relativo a hóspede. Que hospeda. 
humerus,NA
humor," Qualquer fluido, contido num corpo organizado. Produto mórbido e líquido de um corpo orgânico. Humidade. "
humoral, Relativo a humor. 
icterícia," Enfermidade, caracterizada por certa amarelidão na pele e nas escleróticas, e produzida pela mistura da parte corante da bílis com o sangue. "
idiopático, Relativo à idiopatia. 
imunidade," Isenção de algum encargo. Privilégio. Predisposição orgânica, pela qual alguns indivíduos estão isentos de moléstias que atacam outros, colocados em meio idêntico. "
imunização, Acto de imunizar. 
imunodeficiência,NA
imunoglobulina,NA
imunossupressão,NA
inalação, Acto ou efeito de inalar. 
inapetência, Falta de apetite. 
incisão, O mesmo que [[corte:1]]. 
incontinência, Qualidade de incontinente; falta de continência. Dificuldade em reter: _incontinência de urinas_. 
indução," Acto ou efeito de induzir. Sugestão. Raciocínio, em que, de factos particulares, se tira uma conclusão genérica. Conclusão. Acto de estabelecer uma corrente eléctrica, produzindo corrente inversa num circuito próximo. Acto de interromper uma corrente eléctrica, produzindo corrente semelhante num circuito próximo. "
infarto,NA
infarto do miocárdio,NA
infecção, Acto ou efeito de infeccionar. Corrupção; contágio. 
infeccioso, Que resulta de infecção: _moléstia infecciosa_. Que produz infecção: _pântano infeccioso_. 
inflamação, Acto ou efeito de inflamar. Ardor intenso. Rubor excessivo. 
inflamatório, Inflamativo; relativo à inflamação. 
ingestão, Acto de ingerir; deglutição. 
inibidor,NA
injeção,NA
innervação,NA
insolação," Acto ou efeito de insolar. Acção ou efeito do sol nos corpos orgânicos ou inorgânicos. Resultado mórbido da exposição ao ardor do sol. Acto de expor ao sol, como meio terapêutico. Desecação de substâncias medicamentosas, sob a acção do sol. O calor, que o sol transmite à terra. "
inspeção,NA
instabilidade, Qualidade de instável; falta de estabilidade. 
instilação, Acto ou efeito de instilar. 
insuficiência, Qualidade daquilo que é insuficiente. 
insuficiência renal,NA
insulina,NA
integração, Acto de integrar. 
intensidade, Qualidade daquilo que é intenso; grau elevado: _a intensidade do calor_. 
interferência, Intervenção. Qualidade daquilo que é interferente. 
interferon,NA
intermitente," Que intermite. Que tem interrupções, paragens ou intervalos: _febre intermitente_. Que apresenta suspensões ou intervalos desiguais, (falando-se de pulsações). "
internação, Acto ou efeito de internar. 
intestino," Interior, interno, íntimo; doméstico; nacional: _guerras intestinas_. "
intoxicação,NA
intubação,NA
invasivo, Relativo a invasão. Que hostiliza. 
involução, Movimento regressivo. 
iodoterapia, Emprego terapêutico do iodo e seus compostos. 
íris," Meteoro luminoso, produzido na atmosfera, em forma de arco, pela decomposição dos raios solares. Cores, que, através de algumas lunetas, se observam em volta dos objectos. Quartzo irisado. "
iscência,NA
isolamento,NA
isquemia, Suspensão da circulação do sangue. 
ístmo,NA
jejum," Redução ou abstinência de alimento, como penitência ou em virtude de preceito eclesiástico. Abstenção ou redução da quantidade ordinária dos alimentos. Estado de quem não come desde o dia anterior: _ainda não almocei; estou em jejum_. "
keratina,NA
laboratório," Lugar, onde se fazem experiências biológicas ou operações químicas ou farmacêuticas. "
lactação, Acto ou efeito de lactar. 
lactente," Que ainda mama; que se está amamentando. Cf. Castilho, _Fastos_. "
lâmina de bisturi,NA
lanterna clínica,NA
laparoscopia,NA
laringe," Parte superior da traqueia, e órgão principal da voz. "
laringite, Inflamação da laringe. 
laringoscopia," Observação interior da laringe, por meio do laringoscópio. (Cp. _laringoscópio_) "
laringoscópio," Instrumento, para examinar o interior da laringe. "
laser cirúrgico,NA
laserterapia,NA
lateral, Relativo a lado. Transversal; que está ao lado. 
lavagem, O mesmo que _lavadura_. 
laxante, Que laxa. 
le, O mesmo que _lhe_. 
lesão, Acto ou efeito de lesar. Dano; prejuízo. Alteração ou perturbação nas funções ou textura dos órgãos do um indivíduo. 
leucemia," Doença, caracterizada principalmente pelo aumento dos glóbulos brancos do sangue. "
leucócito,NA
leucócitos,NA
leucocitose, Aumento mórbido dos glóbulos brancos do sangue. 
leucoplasia,NA
ligadura," Acção de ligar; liga; ligação. Atilho, atadura. "
ligamento," Acto de ligar. Liga; ligadura. Parte fibrosa, que liga órgãos contíguos. Parte que liga as duas válvulas da concha. Barro ou outra substância, com que se ligam os materiais de uma construção. "
linfadenop,NA
linfadenopatia,NA
linfático, Relativo à linfa. Que contém linfa. Em que predomina a linfa: _temperamento linfático_. 
linfócito,NA
linfoma, Tumor das glândulas linfáticas. 
lipase,NA
lipídeo,NA
lipoma, Tumor adiposo. 
lipossoma,NA
liquor, 
listeriose,NA
litíase,NA
litotripsia, O mesmo que _litotrícia_. 
lobotomia,NA
lóbulo, Pequeno lobo. 
locomotor, Que opera a locomoção. 
lombalgia,NA
lordose, Encurvamento da coluna vertebral para diante. 
lúmen,NA
lúpus," Inflamação cutânea, que se manifesta por pequenas protuberâncias, atacando especialmente o rosto e podendo ser seguida de úlceras. "
luteína,NA
luvas cirúrgicas,NA
luxação," Saída da extremidade articular de um osso, para fora da cavidade que lhe é própria, em virtude de um esforço externo ou de uma alteração orgânica. "
luz cirúrgica,NA
macrofágio,NA
magnésio," Metal que, combinado com o oxigénio, produz a magnésia. "
magnetoterapia,NA
malária," Febre paludosa, intermitente e remitente. É preferível o t. _sezonismo_. "
mal-estar, Indisposição física ou moral. Desassossego. Doença. Situação incomoda ou molesta. Organização defeituosa. Perturbação no espírito público. 
maligno," Tendente para o mal; malicioso. Nocivo, muito mau; de má qualidade. "
mamografia,NA
mandíbula," O mesmo que _maxila_. Cada uma das duas partes, em que se divide o bico das aves. Cada uma das duas peças móveis e duras, colocadas uma à esquerda e outra à direita da boca de certos insectos. "
manobra," Exercício militar. Acto ou arte de dirigir convenientemente a andadura das embarcações. Faina de marinheiro; marinharia. Habilidade, destreza. Astúcia, ardil. Meio de iludir ou enganar. Prestidigitação. "
mantoux,NA
marcapasso,NA
martelo reflexo,NA
máscara cirúrgica,NA
mastectomia,NA
mastite, Designação genérica de inflamações nas mamas. 
mastócito,NA
mastologia, O mesmo que _mastozoologia_. 
mecanismo, Disposição das partes constitutivas de uma máquina. Maquinismo. Organização de um todo. 
mediastino, Espaço entre cada uma das pleuras e a coluna vertebral. 
medicação, Acto de medicar; tratamento terapêutico. 
medicamento," Substância, que se aplica externa ou internamente, para restabelecer a saúde; remédio. "
medula," Substância amarelada ou avermelhada, contida na cavidade dos ossos longos, nas cavidades celulares das extremidades desses ossos, no díploe dos ossos chatos. Miolo, contido no caule das plantas dicotiledóneas. _Espinhal medula_, substância, que ocupa o canal formado pelos arcos das vértebras e que forma o encéfalo. "
medula óssea,NA
megacólon,NA
melanina, O mesmo que _melaína_. 
melanoma, Tumor pigmentoso. 
membrana," Tecido orgânico, mais ou menos laminoso, que envolve certos órgãos ou segrega certos líquidos. Película, que reveste certos órgãos vegetais. Película. "
menarca,NA
meninge,NA
meningioma,NA
meningite," Inflamação das meninges, especialmente de aracnoide. "
menisco, Vidro lenticular. Superfície curva de um líquido contido num tubo capilar. Figura geométrica com um lado convexo e outro côncavo. 
menopausa, Cessação do catamênio ou das regras; idade critica da mulher. 
menstruação,NA
mental, Relativo à mente; intelectual. Espiritual: _oração mental_. 
mesa cirúrgica,NA
mesentério," Membrana, em que estão suspensos os intestinos, e que lhes dá mobilidade. "
metabolismo, Mudança da natureza molecular dos corpos. 
metabolito,NA
metacarpo," Parte da mão, entre o carpo e os dedos. "
metaplasia,NA
metástase," Figura de retórica, em que um orador lança à conta de outrem as coisas a que ele se refere. Alteração de uma doença, quanto à forma ou quanto à sede. "
metemoglobina,NA
método," Conjunto de processos racionais, para fazer qualquer coisa ou obter qualquer fim teórico ou prático. Modo de proceder. Classificação de diversos seres, segundo os caracteres que os aproximam. Tratado elementar. "
metrorragia, Hemorragia do útero. 
micção, Acto de urinar. 
micose," Saliência esponjosa, em forma de cogumelo. Princípio açucarado da cravagem do centeio. "
microbiologia, Estudo ou tratado dos micróbios. (Cp. _microbiólogo_) 
microbioma,NA
microcirculação,NA
microscopia, Arte de usar o microscópio. Conjunto dos estudos microscópicos. 
microscópio," Instrumento, para amplificar e representar próximos os objectos que por ele se observam. "
mielina," Substância medular, contida nos tubos nervosos. "
mielografia,NA
mielograma,NA
mielopatia, Afecção da medula-espinhal. 
migração," Acto de passar de um país para outro, (falando-se de um povo ou de uma grande multidão de gente). Viagens periódicas ou irregulares, feitas por certas espécies de animais. "
miliar," Que tem forma de grão de milho. Que tem pequenas dimensões, (falando-se de um animal). "
mineral," Qualquer substância inorgânica, que se encontra no interior ou na superfície da terra, como metais, pedras, combustíveis. "
miocardite, Inflamação da substância muscular do coração. 
