word,definition,Example Sentence
antídoto," Substância, que impede a acção nociva de substância venenosa. Contraveneno. ","Os livros II a VI tratam, respectivamente, sobre a astronomia e a geografia; os livros VII a XI, tratam sobre a zoologia; os XII a XIX, sobre a botânica e a agricultura; os XX a XXVII, sobre apenas a botânica médica; os livros XXVIII a XXXII descrevem diferentes remédios e antídotos retirados de diferentes animais e do próprio homem; e os livros XXXIII a XXXVII tratam unicamente sobre mineralogia e metais."
antigénio,,"Os anticorpos são componentes proteicos do sistema imunitário adquirido, cuja função principal é ligar a si antigénios ou outras substâncias estranhas ao corpo, marcando-os para serem destruídos."
antinflamatório,,"Trata-se de um agente antinflamatório único porque é muito eficaz contra a artrite gotosa, estando também indicado nas crises agudas de gota e como agente profilático."
antitóxico, Contrário aos tóxicos. Que serve de antídoto ou contraveneno. ,"criada também, a Coordenadoria de Comunicação Social como órgão de assistência direta e imediata do Ministro de Estado e instituído o Conselho de Prevenção Antitóxico, como órgão colegiado, diretamente subordinado ao Ministro de Estado."
aparelho de pressão arterial,,
aparelho de raio x portátil,,
apatia, Indiferença. Indolência. Inacessibilidade a comoções. ,"Na verdade, eles argumentaram que a oligarquia da elite é a lei inflexível da natureza humana, em grande parte devido à apatia e divisão das massas (em oposição à unidade, a iniciativa e a unidade das elites), e que as instituições democráticas não fariam mais do que mudar o exercício do poder de opressão à manipulação."
apendicectomia, Ablação do apêndice ileocecal. ,"Após uma apendicectomia de rotina, contraiu peritonite, fazendo com que caísse em coma durante dias."
arritmia, Irregularidade e desigualdade das contracções do coração. ,"Pesquisadores sugerem que Hitler sofria de vários males, incluindo síndrome do cólon irritável, lesões na pele, arritmia cardíaca, aterosclerose,{{sfn|Evans|2008|p=508}} doença de Parkinson,{{sfn|BBC News, 1999}}{{sfn|Bullock|1962|p=717}} sífilis,{{sfn|Bullock|1962|p=717}} arterite de células gigantes com arterite temporal{{sfn|Redlich|1993}} e acufeno."
artéria," Cada um dos vasos, que levam sangue a todas as partes do corpo. Grande via de comunicação: _o Chiado é uma das principais artérias de Lisboa_. ","A chamada estrada do anel, a principal artéria do país, que interliga cerca de 60% da população, foi restaurada."
artrite, Inflamação nas articulações. ,"por isso, um agente anti-inflamatório, podendo ser utilizado no caso de lesões desportivas, traumas, artrites e outros tipos de inchaços."
asma," Dificuldade de respirar, que se manifesta por acessos irregulares. ","João VI]] tivesse trazido alguns bons médicos para o Rio de Janeiro, era do &quot;tipo caseiro&quot;: rodelinhas de limão nas frontes para enxaquecas, suadouros de sabugueiro e quina, para as febres: cataplasmas contra a asma: antipirina para as dores de cabeça; banhos de malva para as dores nas cadeiras; um &quot;cordial&quot; contra a insônia e, para os loucos, o Hospício, na Praia Vermelha."
aspirador cirúrgico,,
asseptização,,
astenia, Fraqueza; debilidade. ,"A partir de Fevereiro de 1900, apresentava, contudo, sintomas bastante debilitantes — dor estomacal, diarreia, febre, nevralgias, inchaço dos pés, falta de apetite e astenia."
ataxia," Irregularidade, desordem, falta de coordenação, nos movimentos voluntários, contrastando com a integridade da força muscular. ","UFBA), ''Determinação do teor de ácido cianídrico em folhas de mandioca (Manihot esculenta Crantz) desidratadas'', Natal, Associação Brasileira de Química - Seção Regional do Rio Grande do Norte (ABQ-RN), 2007], consultado em 2017-11-15 composto extremamente volátil, porém, altamente tóxico podendo em pequenas quantidades provocar ataxia e morte Isto deve-se ao fato de que os cianetos iónicos se coordenam com íons férricos contidos no citocromo oxidase III da mitocondria, impedindo a redução do oxigênio em água da cadeia transportadora de elétrons, matando a pessoa exposta por sufocamento."
ateroma," Nome, que se dava ao cisto sebáceo, formado no pescoço ou nas artérias do pescoço. ","jpg|thumb|A doença arterial coronária é causada por aterosclerose, a acumulação de placas de material degenerativo nas artérias do coração."
atia,,imagem:Atia Balba Caesonia.
atrofia muscular,,"Diversas doenças causam uma diminuição da massa muscular, conhecida como atrofia muscular."
ausculta,,"O diagnóstico é confirmado com um eletrocardiograma que revela anomalias da condução cardíaca existentes em todas essas doenças, e pela ausculta cardíaca."
autoclave," Vaso ou marmita, usada especialmente nas farmácias para fazerem cocções sem evaporação. ","Em cirurgias são utilizados equipamentos desenvolvidos por bioengenheiros: bisturis convencionais e eletrônicos, espéculos dos mais diversos, catéteres, bombas de vácuo, coaguladores eletrônicos, desfibriladores, marca passos, autoclaves etc."
bacteremia,,"As capivaras hospedeiras, ao serem infectadas por carrapatos vetores, apresentam bacteremia por até três semanas, podendo evoluir ao óbito ou à cura."
bactéria, Insecto orthóptero das regiões intertropicais. ,"Outros cultivos transgênicos usados pelos produtores incluem cultivos resistentes a insetos, que possuem um gene da bactéria do solo ''Bacillus thuringiensis'' (Bt), que produz uma toxina específica para insetos."
balança," Instrumento, que determina o peso dos corpos, em relação a certa unidade, e cuja parte essencial é uma alavanca, travessão ou cutelo. Equilibrio: ","A Balança Comercial que representa a contabilidade de entrada e saída de bens tangíveis, no período de 2003 a 2009 apresentou um desempenho com um superávit de 74,4%."
balanite, O mesmo que _balanita_. ,"editor-sobrenome2 =Koyle|editor-nome2 =Martin|editor-sobrenome3 =Yosha|editor-nome3 =Assaf | name-list-format = vanc |título=Surgical Guide to Circumcision|data=2012|publicado=Springer-Verlag|local=London|isbn=978-1-4471-2858-8|páginas=243–259|capítulo=Chapter 21: Why Circumcision:From Prehistory to the Twenty-First Century}}{{rp|257}} A circuncisão também pode ser realizada em crianças ou adultos para tratar fimose, balanite ou para prevenir a transmissão de infecções sexualmente transmissíveis."
bandeja de instrumentos,,
bariatria,,
barreira hematoencefálica,,"Não possui a barreira hematoencefálica típica do encéfalo, o que os tornam vulneráveis a doenças sistêmicas."
bexiga," Reservatório músculo-membranoso, situado na parte inferior do abdómen, e destinado a conter a urina, que deve sair pela uretra. ","As aves não têm bexiga nem uretra exterior, pelo que (à exceção das avestruzes) o ácido úrico é expelido em conjunto com as fezes em dejetos semissólidos."
bilirrubina,,"Há cerca de 5 milhões de eritrócitos em um milímetro cúbico de sangue humano; eles são produzidos numa velocidade de 2 milhões por segundo por um tecido especial que se localiza na medula óssea de quase todos os ossos no recém nascido, e apenas nos ossos axiais em adultos (arcos costais, corpo vertebral, esterno e ílio) o tecido hematopoiético, e as partículas velhas são destruídas e removidas pelo baço liberando bilirrubina."
biópsia,,Diversos exames de medula óssea podem ser realizados através de biópsia para diagnóstico de uma doença.
bioquímica," Parte da Biologia, que trata da constituição química das substâncias produzidas pela acção da vida. ","Já existem vários indícios de que a salinidade está diminuindo em vários mares do mundo, com impacto potencial mas indeterminado sobre a bioquímica marinha."
bisturi,,"Ela pode ser mecânica, com a utilização de pincéis, flanelas, aspirador de pó, bisturi, pinça, espátula, cotonetes, borracha de vinil, luvas, máscaras, papel mata-borrão, pesos, cola metilcelulose, etc."
bócio, Papeira. (Da mesma or. que _bochecha_. Cp. fr. _bosse_) ,"O iodeto de potássio, KI, é adicionado ao sal comum, NaCl (mistura denominada de sal iodado), para prevenir o surgimento do Bócio endêmico, doença causada pela deficiência de iodo na dieta alimentar."
bombas de infusão,,"Os equipamentos comuns em unidade de terapia intensiva (UTI) incluem os seguintes equipamentos: equipamentos de ventilação mecânica, que auxiliam na respiração através de um tubo endotraqueal ou traqueotomia, equipamentos de hemofiltração, avançado equipamento de monitorização cardiovascular (eletrocardiograma, oxigenação, pressão arterial invasiva e não invasiva, temperatura e capnografia), monitorização hemodinamica invasiva (cateter de Swan-Ganz); vias endovenosas para infusões de drogas injetáveis e nutrição parenteral, sonda nasogástrica e entérica, sondas vesicais, bombas de sucção, drenos, cateteres, desfibrilador, cardioversor, bombas de infusão e uma grande variedade de drogas, incluindo drogas vasoativas (inotrópicos, por exemplo), sedativos, antibióticos, analgésicos, antiarritímicos, soros, sangue e derivados, reguladores de pH, anti-inflamatórios esteroidais e não esteroidais, anti-histamínicos, etc."
bradicardia, Pulsação lenta do coração. ,O ritmo cardíaco anormalmente baixo denomina-se bradicardia.
broncoespasmo,,"Os efeitos colaterais físicos do uso crônico de cocaína em forma de crack incluem hemoptise (sangue expelido por tosse), broncoespasmos, coceira, febre, eosinofilia pulmonar e sistêmica, dor no peito, trauma pulmonar, dor de garganta, asma, voz rouca, dispneia (falta de ar) e sintomas semelhantes à gripe, como coriza e congestão nasal."
cálcio," Metal branco e amarelado, que se extrai da cal. Metal, que, combinado com o oxigénio, constitue a cal. ","lt;ref name=&quot;PhysicalScienceSummary&quot;/&gt; Este fenômeno é especialmente daninho para os animais que utilizam sais de cálcio para construir suas conchas e estruturas corporais, destacando-se entre eles os corais, os moluscos e crustáceos, bem como muitas espécies de plâncton, que têm essas estruturas dissolvidas ou malformadas pela elevada acidez da água."
cama hospitalar,,"Por exemplo, proteções nas laterais de uma cama hospitalar previnem que pacientes rolem durante o sono e caiam."
câmara escura para radiografia,,
campo cirúrgico,,"lt;ref name=&quot;:0&quot; /&gt; Idealmente, um campo cirúrgico é estéril, o que significa que está livre de todos os contaminantes biológicos (nomeadamente, fungos, bactérias e vírus), não apenas aqueles que podem causar doenças, putrefação ou fermentação."
câncer, Uma das constelações do Zodíaco. Cancro. ,"A América Latina está toda localizada no hemisfério ocidental, sendo cortada pelo Trópico de Câncer, o qual atravessa o centro do México, pelo Equador, o qual corta o Brasil, Colômbia, Equador e pelo qual é tocado o norte do Peru; pelo Trópico de Capricórnio, o qual corta o Brasil, o Paraguai, a Argentina e o Chile."
cânula, Tubo de vários instrumentos cirúrgicos. ,"Assim, as tendas de oxigénio eram antes empregues como suplementos de oxigénio, mas foram substituídas pelas máscaras de oxigénio e cânulas nasais."
cânula de traqueostomia,,"jpg|thumb|300px|A pressão de insuflação máxima do balonete da cânula de traqueostomia deverá ser de 27 cmH2O, ou convertendo 20 mmHg."
cardiologia, Tratado do coração. ,"option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, hemodiálise e transplante de órgãos;{{citar web|url=http://www."
cardiologia, Tratado do coração. ,"option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, hemodiálise e transplante de órgãos;{{citar web|url=http://www."
cárie," Ulceração nos dentes e ossos, que os destrói progressivamente. Caruncho. Doença dos vegetais, semelhante à cárie. Destruição progressiva. ","sfn|Case|2003|p=37}} Embora os gatos tendam a ter dentes melhores do que a maioria dos humanos, com cárie geralmente menos provável por causa de uma camada protetora mais espessa de esmalte, uma saliva menos prejudicial, menos retenção de partículas de alimentos entre os dentes e uma dieta quase sem açúcar, estão sujeitos à perda ocasional de dentes e infecção."
catarro," Fluxão nas membranas mucosas. Bronquite. Constipação, acompanhada de tosse. ","Bronquiectasia (isto é, dilatação dos brônquios com a presença de catarro) e marcas pleurais podem estar presentes."
cateter," Sonda, que se emprega na operação da talha. ","Isso pode ser feito com uma injeção usando uma seringa, ou inserindo um cateter (tubo flexível)."
cauterização, Acto de _cauterizar_. ,"Microcirurgia cardiológica, esta para realização de cirurgias ambulatoriais de pequena complexidade, como cauterização de varizes e vasos pequenos."
cefaleia, Dor violenta de cabeça. ,"Artralgia]], mialgia, náusea, vômito, cefaleia."
celulite (infecciosa),,
cervicite," Inflamação do colo uterino; metrite, localizada no colo do útero. ","lt;ref name=Mer2018/&gt; Para o diagnóstico deve ser excluída a presença de outras doenças que manifestam sintomas semelhantes, como a inflamação do colo do útero, a doença inflamatória pélvica, o cancro, a presença de corpos estranhos ou doenças da pele."
cicatrização, Acto de cicatrizar. ,"Em organismos multicelulares, as células podem se mover durante processos como a desenvolvimento embrionário, assim como na cicatrização de feridas, na manutenção tecidual, no funcionamento do sistema imune e na metástase do câncer."
ciclo cardíaco,,"shtml|website=Atlas of Human Cardiac Anatomy|acessodata=7 de março de 2016}} Durante a fase de relaxamento do ciclo cardíaco, os músculos papilares estão igualmente relaxados e a tensão nas cordas tendinosas é reduzida."
cirurgia," Parte da Medicina, que trata principalmente de lesões externas, e dos processos manuais ou operações com que elas se curam, bem como de operações que facilitam ou tornam possível o tratamento de lesões internas. ",sfn|Fox|Keck|2004|p=70}} Recusou a cirurgia dizendo: &quot;Quero ir quando eu quiser.
cistite, Inflamação da bexiga. ,"O animal afetado apresenta problemas inflamatórios no sistema urinário, dentre os quais destacam-se a cistite, uremia e formação de cálculos renais e na bexiga."
citologia, Estudo da célula em geral. ,"Foram também desenvolvidas técnicas de coloração com corantes artificiais que vieram permitir distinguir com maior facilidade os vários tipos de células e que, no fim do {{séc|XIX}} , deram origem aos campos da citologia e histologia."
clareamento dental,,br/como-clarear-os-dentes-com-clareamento-dental-caseiro/  “Clareamento dental“] Revisado.
coagulopatia,,"A analgesia peridural é contraindicada em pessoas com infecções, como celulite próxima ao local da injeção ou coagulopatia grave."
colectomia,,"lt;ref name=NIH2014/&gt; Nos casos mais graves, em que a doença não responde ao tratamento ou quando surgem complicações como cancro do cólon, pode ser necessária a remoção cirúrgica do cólon."
colostomia,,"A designação do tipo de estomia é definida pelo tipo de órgão ou víscera que será exposto: colostomia (cólon), ileostomia (íleo), gastrostomia (estômago), nefrostomia (rim), ureterostomia (ureter), vesicostomia (bexiga), cistostomia (bexiga com uso de cateter) ou traqueostomia (traquéia), entre outras."
colposcópio,,Colposcopia''' (do grego ''kolpos'' vagina e ''skopos'' observar) é um procedimento médico diagnóstico para avaliar o colo do útero (cérvix) e os tecidos da vagina e vulva por via de um instrumento que amplia e ilumina estas estruturas (colposcópio).
comorbidade,,periódico=Psychiatry |volume=6 |número=5 |páginas=46–50 |ano=2009 |pmc=2719439 |pmid=19724735}} Há uma alta incidência de comorbidade naqueles com distimia.
complicação, Acto e efeito de complicar. ,"Tem horror a toda complicação, a toda a cerimônia, a todo fausto."
condiloma," Pequeno tumor no ânus, determinado pela hipertrofia da derme. ","Em áreas úmidas do corpo se forma uma erupção cutânea larga e plana chamada de ''condiloma lata,'' ou condiloma plano."
conjuntivite, Inflamação da conjuntiva. ,"Segundo os seus diários pessoais e anotações deixadas pelos seus contemporâneos, os sintomas desta doença (ardor doloroso quando se urina, dor e inchamento das pernas, e conjuntivite) eram claramente evidentes nos três últimos anos da sua vida."
constipação," Estado mórbido, com diferentes caracteres, tais como: defluxão, calafrios, prisão de ventre, etc. ","A via oral pode causar cólica, náusea, constipação ou diarreia ou escurecimento dos dentes, mas isso é reversível após a suspensão do medicamento."
conta-gotas," Instrumento, com que se contam as gotas de um medicamento ou de outro líquido. ",O FDA aconselhou os fabricantes de suplementos de vitamina D líquidos que os conta-gotas que acompanham esses produtos devem ser marcados de forma clara e precisa para 400 unidades internacionais (1 UI é o equivalente biológico de 25&amp;nbsp;ng de colecalciferol/ergocalciferol).
contaminação, Acto ou efeito de contaminar. Infecção. ,"O resíduo das coberturas foi medido em níveis de 50 a 260 kg por hectare no solo superficial em áreas onde a cobertura foi usada por mais de 10 anos, o que confirma que a cobertura plástica é uma das principais fontes de contaminação microplástica e macroplástica do solo."
contraste (radiológico),,
convalescença, Acto de convalescer. ,"Passou algum tempo em convalescença em Glion, na Suíça, e depois retorna à França."
convulsão," Acto de convellir. Contracção muscular, produzida por doença. Cataclismo. Grande agitação. Grande transformação. Revolução. ","Luís I morreria em 840, com o império em convulsão."
coriorretinite,,Uveíte posterior''' ou '''coriorretinite''': é a inflamação da retina e da coroide.
corticoide,,"O desenvolvimento dos tecidos adiposo e conectivo aumenta sob a influência de outros hormônios, como a progesterona, prolactina, corticoides e hormônio do crescimento."
criocirurgia,,A criocirurgia é agressiva e pode causar úlceras importantes.
criptorquidia," Ausência dos testículos nas bolsas, em virtude da sua retenção no abdómen ou no canal inguinal. ","Apresenta-se com hipoglicemia, icterícia prolongada, anomalias congénitas, micropênis e/ou criptorquidia (ausência de testículos), convulsões, hipotensão e / ou défice  cognitivo."
crónico, Que dura há muito tempo. ,"Entretanto, devido ao congestionamento crónico verificado durante as décadas de 1970 e 1980, o centro histórico de Roma condiciona o tráfego numa zona designada de ZTL, ''Zona de Tráfego Limitada'': apenas se pode circular com a viatura dentro da ZTL em horários específicos."
cura, Acto ou efeito de curar. Tratamento. Restabelecimento da saúde. ,Leuca tinha a reputação de ser um lugar de cura; Pausânias relata que a pítia délfica teria enviado um nobre de Crotona para se tratar de um ferimento no peito.
cureta periodontal,,
curetagem,,"Ficou internada por três semanas, tendo que fazer curetagem, devido ao aborto mal feito, que quase a matou."
cútis, Pele das pessoas. Epiderme; tez. ,"A '''pele''', '''cútis''' ou '''tez''', em anatomia, é o órgão integrante do sistema tegumentar (junto ao cabelo e pelos, unhas, glândulas sudoríparas e sebáceas), que tem por principais funções a proteção dos tecidos subjacentes, regulação da temperatura somática e ainda conter terminações nervosas sensitivas."
de," Exprime restrição da palavra que a precede: _filho de Pedro_. Ligação dos verbos auxiliares com o infinito de outros verbos: _ter de fugir_. Relação de movimento, proveniência, propriedade, carácter, profissão. Estado. Naturalidade: _sou de Portugal_. Situação, causa: _morrer de febre amarela_. Mudança: _saiu de Lisboa_. Conformidade. Formação: _estátua de pedra_. Instrumento: _a golpes de faca_. Dimensão: _um metro de altura_. Modo; e às vezes é elemento de loc. prep. e adv.: _resolveu de per si_. ","jpg|thumb|Formação estrelar na Grande Nuvem de Magalhães, uma galáxia irregular."
débito cardíaco,,"Nos exercícios dinâmicos, as contrações musculares são seguidas de movimentos articulares, o que não leva a obstrução de fluxo sanguíneo, mas durante o exercício ocorre aumento da frequência cardíaca, que é proporcional ao tamanho da massa muscular do exercitado (quanto maior a massa muscular, maior o aumento da frequência cardíaca) e menor o aumento da pressão arterial, que é uma consequência do não aumento da frequência periférica, aumento do débito cardíaco e volume sistólico, sendo que essas respostas variam de acordo com a intensidade do exercício."
decúbito, Posição de quem está deitado. ,"Em Taforalt (Oujda), as ferramentas encontradas datam de {{AC|30-20000|nl}} Ritos funerários são identificados: os mortos têm o corpo em decúbito lateral e ossos pintados."
defecação, Acto de defecar. ,"isbn=9780889209121|página=315}} A etiqueta bíblica do banheiro incentiva a lavagem após todas as ocorrências de defecação, daí a invenção do bidê."
deglutição, Acto de deglutir. ,"Depois que o alimento é mastigado em um bolo, ele é engolido e movido através do esôfago."
demografia, Estatística da população. ,Apontamentos para história da família e demografia histórica da Capitania do Grão-Pará (1750-1790).
dente de leite,,"Os dentes, que são geralmente diferenciados, são revestidos por uma camada de esmalte e geralmente são substituídos uma vez na vida, ou não, como no caso dos cetáceos."
deo,,Ficheiro:Fortaleza vista da Torre Deo Passeo.
depressão, Acto de deprimir. Abaixamento por efeito de pressão. Diminuição. Terreno mais baixo que o que lhe fica aos lados. Pequena cavidade. ,"Tem sido demonstrado que eventos deste tipo podem desencadear sérias perturbações, tais como crises de ansiedade, distúrbios do sono, depressão, estresse, risco aumentado de suicídio, de surtos de violência social e de consumo de drogas, que se assemelham à síndrome pós-traumática, estado clínico severo que pode levar vários anos para ser superado após um evento concreto desencadeante, como uma inundação."
dermabrasão,,"Alguns tratamentos de acne e rugas com relatos de terem causado rosácea incluem micro-dermabrasão e peelings químicos, bem como altas doses de isotretinoína, peróxido de benzoíla e ácido retinoico."
dermatologia, Tratado da pele. ,"considerado um centro de referência nacional e internacional na área de dermatologia geral e, em particular, da hanseníase."
dermatologia, Tratado da pele. ,"considerado um centro de referência nacional e internacional na área de dermatologia geral e, em particular, da hanseníase."
desfibrilação,,"A morte já foi definida como a cessação dos batimentos cardíacos (parada cardíaca) e da respiração, mas o desenvolvimento de RCP e desfibrilação imediata tornaram essa definição inadequada porque a respiração e os batimentos cardíacos às vezes podem ser reiniciados."
desfibrilador,,"A bioengenharia estuda e desenvolve instrumentos essenciais à manutenção da vida como esfigmomanômetros, hemodiálise, bombas infusoras ou bomba de infusão, bombas de sangue, pulmões artificiais (ventiladores)'', desfibriladores, incubadoras neonatais, etc."
desidratação, Acto de desidratar. ,"Esse tipo de estresse pode levar a crises cardíacas, cãibras, desconforto, desidratação e exaustão, entre outros efeitos, e se torna um agravante de moléstias preexistentes."
desinfecção, Acto ou efeito de desinfectar. ,"A qualidade da água fornecida nem sempre satisfaz os parâmetros de qualidade exigidos: se, por um lado, mais de 84% da população servida se encontrava servida por sistemas de tratamento, por outro, cerca de 80% da água distribuída era apenas sujeita a desinfecção por cloragem, sem um controle significativo."
desinfetante,,Joseph Lister]] foi o primeiro a usar desinfetante fenol em feridas abertas de pacientes.
dextrocardia," Deslocamento do coração para o lado direito, em consequência de um tumor intra-torácico ou de outro incidente mórbido. ","Grande parte do volume do coração está ligeiramente orientado para o lado esquerdo do tórax, embora muito raramente possa estar orientada para o lado direito."
diagnóstico," Conhecimento ou determinação de uma doença, pela observação dos seus sintomas. Conjunto dos sintomas, em que se funda essa determinação. ","quot;A produção agrícola tornou-se, igualmente, um dado fundamental para compor um diagnóstico da economia da Amazônia."
diagnóstico diferencial,,"A ausência de deleção do braço longo do cromossomo 5 (del 5q, t(3;3), inv(3)) também pode ser interessante no diagnóstico diferencial, uma vez que afasta Síndrome Mielodisplásica."
dialética,,"evidente a diferença entre as concepções de Aristóteles sobre a arte da oratória entre o Livro I e o Livro II, enquanto neste último destaca o estudo das paixões, desfazendo a caracterização da retórica como puramente dialética, no Livro I Aristóteles valoriza a função da sedução da alma."
diálise," Acto de dialisar. Faculdade que possuem as membranas, de deixar passar através dos seus poros certas substâncias, com exclusão de outras. Cf. _Museu Techn._, 90. ","lt;/ref&gt; Alguns anticoagulantes são usados ​​em equipamentos médicos, como tubos de amostra, bolsas de transfusão de sangue, máquinas coração-pulmão e equipamentos de diálise."
diapedese,,"A '''diapedese''' (Grego DIAPÉDESIS, “ato de saltar através”, DIA, “através”, mais PEDAN, “pular, saltar”) é a passagem dos leucócitos do sangue para o tecido conjuntivo."
dieta," Modo de empregar o que é necessário à conservação da vida, tanto em saúde como em doença. Hvgiene. Abstenção de alguns ou de todos os alimentos, em caso de doença. Privação de alimento. ","Os castanhos e os pretos são causados por melaninas sintetizadas pela ave e depositados em grânulos, enquanto os amarelos, laranjas e vermelhos são causados por carotenoides com origem na dieta e difundidos pela pele e penas."
diferenciação celular,,"volume=44|página=515-521|ano=2000|issn=1696-3547}} nos nossos dias estuda o controle genético do crescimento e diferenciação celular e da morfogênese, o processo que dá origem aos tecidos, órgãos e à anatomia em geral."
difusão, Acto de difundir. Prolixidade. ,"lt;ref name=corr21b /&gt; Os militantes da Aliança da Democracia Socialista, atuando através da AIT, tiveram um papel determinante na difusão do anarquismo em diversas partes do mundo, especialmente na Europa, atuando de maneira significativa para o estabelecimento e crescimento das seções da Internacional na Espanha, Itália, Portugal e Suíça, onde ocorreram os primeiros grandes marcos históricos do movimento anarquista."
digestão," Elaboração dos alimentos nas vias digestivas, ou função orgânica, caracterizada pela dissolução, liquefacção, e absorção dos alimentos, com dejecção dos resíduos. Acto de digerir, (em sentido fig). ","A digestão das aves é bastante rápida, de modo a não interferir com o voo."
dilatação e curetagem,,"Ao contrário da aspiração uterina à vácuo, que pode ser realizada em consultórios ou clínicas, a dilatação e curetagem é um procedimento cirúrgico, devendo ser realizado em um hospital com bloco cirúrgico."
dismenorreia," Corrimento menstrual, difícil e doloroso. Dificuldade da menstruação. ","Também se descreveu que o castóreo pode se usar contra a dismenorreia e condições histéricas —referentes ao útero—, já que eleva a pressão sanguínea e incrementa o ritmo cardíaco."
dispepsia, Dificuldade na digestão. Má digestão. ,"A kava é usada pelos tonganeses na prevenção e cura de doenças como dores de cabeça, hemoglobinúria malária, tuberculose, lepra, câncer, asma, indigestão e insônia."
displasia cervical,,"A displasia cervical do útero é uma alteração pré-neoplásica do colo do útero causada por alguns tipos de papilomavírus e, evolui frequentemente para cancro em alguns anos (no entanto mais de metade acaba por desaparecer sem complicações)."
dispnéia,,"Nos casos mais graves, essa doença pode causar a perda da  capacidade pulmonar, além de tosse, infecções, dispnéia e distúrbios cardíacos."
distensão, Acto ou efeito de distender. Torção violenta dos ligamentos de uma articulação. ,"Muitos comportamentos das aves são universais e ocorrem invariavelmente em praticamente todas as espécies de aves, como é o caso dos cuidados com as penas, os movimentos de distensão das pernas, asas ou caudas, os banhos de água e poeira, ou o movimento que sacode o corpo."
distensão abdominal,,"Os cães infectados podem apresentar postura encurvada com distensão abdominal, lerdeza, pelagem áspera, perda de peso, fezes brancas ou de coloração clara e diarreia, respiração acelerada e gastrenterite."
diurese, Secreção copiosa de urina. ,A diurese excessiva e a sede intensa são típicos da DI.
