Front,Extra
" Sonda, que se emprega na operação da talha.  {c1::cateter}","Exemplo: Isso pode ser feito com uma injeção usando uma seringa, ou inserindo um cateter (tubo flexível)."
 Acto de _cauterizar_.  {c1::cauterização},"Exemplo: Microcirurgia cardiológica, esta para realização de cirurgias ambulatoriais de pequena complexidade, como cauterização de varizes e vasos pequenos."
 Dor violenta de cabeça.  {c1::cefaleia},"Exemplo: Artralgia]], mialgia, náusea, vômito, cefaleia."
" Inflamação do colo uterino; metrite, localizada no colo do útero.  {c1::cervicite}","Exemplo: lt;ref name=Mer2018/&gt; Para o diagnóstico deve ser excluída a presença de outras doenças que manifestam sintomas semelhantes, como a inflamação do colo do útero, a doença inflamatória pélvica, o cancro, a presença de corpos estranhos ou doenças da pele."
 Acto de cicatrizar.  {c1::cicatrização},"Exemplo: Em organismos multicelulares, as células podem se mover durante processos como a desenvolvimento embrionário, assim como na cicatrização de feridas, na manutenção tecidual, no funcionamento do sistema imune e na metástase do câncer."
"shtml|website=Atlas of Human Cardiac Anatomy|acessodata=7 de março de 2016}} Durante a fase de relaxamento do {c1::ciclo cardíaco}, os músculos papilares estão igualmente relaxados e a tensão nas cordas tendinosas é reduzida.",
" Parte da Medicina, que trata principalmente de lesões externas, e dos processos manuais ou operações com que elas se curam, bem como de operações que facilitam ou tornam possível o tratamento de lesões internas.  {c1::cirurgia}",Exemplo: sfn|Fox|Keck|2004|p=70}} Recusou a cirurgia dizendo: &quot;Quero ir quando eu quiser.
 Inflamação da bexiga.  {c1::cistite},"Exemplo: O animal afetado apresenta problemas inflamatórios no sistema urinário, dentre os quais destacam-se a cistite, uremia e formação de cálculos renais e na bexiga."
 Estudo da célula em geral.  {c1::citologia},"Exemplo: Foram também desenvolvidas técnicas de coloração com corantes artificiais que vieram permitir distinguir com maior facilidade os vários tipos de células e que, no fim do {{séc|XIX}} , deram origem aos campos da citologia e histologia."
br/como-clarear-os-dentes-com-clareamento-dental-caseiro/  “Clareamento dental“] Revisado.,
"A analgesia peridural é contraindicada em pessoas com infecções, como celulite próxima ao local da injeção ou {c1::coagulopatia} grave.",
"lt;ref name=NIH2014/&gt; Nos casos mais graves, em que a doença não responde ao tratamento ou quando surgem complicações como cancro do cólon, pode ser necessária a remoção cirúrgica do cólon.",
"A designação do tipo de estomia é definida pelo tipo de órgão ou víscera que será exposto: {c1::colostomia} (cólon), ileostomia (íleo), gastrostomia (estômago), nefrostomia (rim), ureterostomia (ureter), vesicostomia (bexiga), cistostomia (bexiga com uso de cateter) ou traqueostomia (traquéia), entre outras.",
Colposcopia''' (do grego ''kolpos'' vagina e ''skopos'' observar) é um procedimento médico diagnóstico para avaliar o colo do útero (cérvix) e os tecidos da vagina e vulva por via de um instrumento que amplia e ilumina estas estruturas ({c1::colposcópio}).,
periódico=Psychiatry |volume=6 |número=5 |páginas=46–50 |ano=2009 |pmc=2719439 |pmid=19724735}} Há uma alta incidência de {c1::comorbidade} naqueles com distimia.,
 Acto e efeito de complicar.  {c1::complicação},"Exemplo: Tem horror a toda complicação, a toda a cerimônia, a todo fausto."
" Pequeno tumor no ânus, determinado pela hipertrofia da derme.  {c1::condiloma}","Exemplo: Em áreas úmidas do corpo se forma uma erupção cutânea larga e plana chamada de ''condiloma lata,'' ou condiloma plano."
 Inflamação da conjuntiva.  {c1::conjuntivite},"Exemplo: Segundo os seus diários pessoais e anotações deixadas pelos seus contemporâneos, os sintomas desta doença (ardor doloroso quando se urina, dor e inchamento das pernas, e conjuntivite) eram claramente evidentes nos três últimos anos da sua vida."
" Estado mórbido, com diferentes caracteres, tais como: defluxão, calafrios, prisão de ventre, etc.  {c1::constipação}","Exemplo: A via oral pode causar cólica, náusea, constipação ou diarreia ou escurecimento dos dentes, mas isso é reversível após a suspensão do medicamento."
" Instrumento, com que se contam as gotas de um medicamento ou de outro líquido.  {c1::conta-gotas}",Exemplo: O FDA aconselhou os fabricantes de suplementos de vitamina D líquidos que os conta-gotas que acompanham esses produtos devem ser marcados de forma clara e precisa para 400 unidades internacionais (1 UI é o equivalente biológico de 25&amp;nbsp;ng de colecalciferol/ergocalciferol).
 Acto ou efeito de contaminar. Infecção.  {c1::contaminação},"Exemplo: O resíduo das coberturas foi medido em níveis de 50 a 260 kg por hectare no solo superficial em áreas onde a cobertura foi usada por mais de 10 anos, o que confirma que a cobertura plástica é uma das principais fontes de contaminação microplástica e macroplástica do solo."
 Acto de convalescer.  {c1::convalescença},"Exemplo: Passou algum tempo em convalescença em Glion, na Suíça, e depois retorna à França."
" Acto de convellir. Contracção muscular, produzida por doença. Cataclismo. Grande agitação. Grande transformação. Revolução.  {c1::convulsão}","Exemplo: Luís I morreria em 840, com o império em convulsão."
Uveíte posterior''' ou '''{c1::coriorretinite}''': é a inflamação da retina e da coroide.,
"O desenvolvimento dos tecidos adiposo e conectivo aumenta sob a influência de outros hormônios, como a progesterona, prolactina, {c1::corticoide}s e hormônio do crescimento.",
A {c1::criocirurgia} é agressiva e pode causar úlceras importantes.,
" Ausência dos testículos nas bolsas, em virtude da sua retenção no abdómen ou no canal inguinal.  {c1::criptorquidia}","Exemplo: Apresenta-se com hipoglicemia, icterícia prolongada, anomalias congénitas, micropênis e/ou criptorquidia (ausência de testículos), convulsões, hipotensão e / ou défice  cognitivo."
 Que dura há muito tempo.  {c1::crónico},"Exemplo: Entretanto, devido ao congestionamento crónico verificado durante as décadas de 1970 e 1980, o centro histórico de Roma condiciona o tráfego numa zona designada de ZTL, ''Zona de Tráfego Limitada'': apenas se pode circular com a viatura dentro da ZTL em horários específicos."
 Acto ou efeito de curar. Tratamento. Restabelecimento da saúde.  {c1::cura},Exemplo: Leuca tinha a reputação de ser um lugar de cura; Pausânias relata que a pítia délfica teria enviado um nobre de Crotona para se tratar de um ferimento no peito.
"Ficou internada por três semanas, tendo que fazer {c1::curetagem}, devido ao aborto mal feito, que quase a matou.",
 Pele das pessoas. Epiderme; tez.  {c1::cútis},"Exemplo: A '''pele''', '''cútis''' ou '''tez''', em anatomia, é o órgão integrante do sistema tegumentar (junto ao cabelo e pelos, unhas, glândulas sudoríparas e sebáceas), que tem por principais funções a proteção dos tecidos subjacentes, regulação da temperatura somática e ainda conter terminações nervosas sensitivas."
" Exprime restrição da palavra que a precede: _filho de Pedro_. Ligação dos verbos auxiliares com o infinito de outros verbos: _ter de fugir_. Relação de movimento, proveniência, propriedade, carácter, profissão. Estado. Naturalidade: _sou de Portugal_. Situação, causa: _morrer de febre amarela_. Mudança: _saiu de Lisboa_. Conformidade. Formação: _estátua de pedra_. Instrumento: _a golpes de faca_. Dimensão: _um metro de altura_. Modo; e às vezes é elemento de loc. prep. e adv.: _resolveu de per si_.  {c1::de}","Exemplo: jpg|thumb|Formação estrelar na Grande Nuvem de Magalhães, uma galáxia irregular."
"Nos exercícios dinâmicos, as contrações musculares são seguidas de movimentos articulares, o que não leva a obstrução de fluxo sanguíneo, mas durante o exercício ocorre aumento da frequência cardíaca, que é proporcional ao tamanho da massa muscular do exercitado (quanto maior a massa muscular, maior o aumento da frequência cardíaca) e menor o aumento da pressão arterial, que é uma consequência do não aumento da frequência periférica, aumento do {c1::débito cardíaco} e volume sistólico, sendo que essas respostas variam de acordo com a intensidade do exercício.",
 Posição de quem está deitado.  {c1::decúbito},"Exemplo: Em Taforalt (Oujda), as ferramentas encontradas datam de {{AC|30-20000|nl}} Ritos funerários são identificados: os mortos têm o corpo em decúbito lateral e ossos pintados."
 Acto de defecar.  {c1::defecação},"Exemplo: isbn=9780889209121|página=315}} A etiqueta bíblica do banheiro incentiva a lavagem após todas as ocorrências de defecação, daí a invenção do bidê."
 Acto de deglutir.  {c1::deglutição},"Exemplo: Depois que o alimento é mastigado em um bolo, ele é engolido e movido através do esôfago."
 Estatística da população.  {c1::demografia},Exemplo: Apontamentos para história da família e demografia histórica da Capitania do Grão-Pará (1750-1790).
"Os dentes, que são geralmente diferenciados, são revestidos por uma camada de esmalte e geralmente são substituídos uma vez na vida, ou não, como no caso dos cetáceos.",
Ficheiro:Fortaleza vista da Torre Deo Passeo.,
 Acto de deprimir. Abaixamento por efeito de pressão. Diminuição. Terreno mais baixo que o que lhe fica aos lados. Pequena cavidade.  {c1::depressão},"Exemplo: Tem sido demonstrado que eventos deste tipo podem desencadear sérias perturbações, tais como crises de ansiedade, distúrbios do sono, depressão, estresse, risco aumentado de suicídio, de surtos de violência social e de consumo de drogas, que se assemelham à síndrome pós-traumática, estado clínico severo que pode levar vários anos para ser superado após um evento concreto desencadeante, como uma inundação."
"Alguns tratamentos de acne e rugas com relatos de terem causado rosácea incluem micro-{c1::dermabrasão} e peelings químicos, bem como altas doses de isotretinoína, peróxido de benzoíla e ácido retinoico.",
 Tratado da pele.  {c1::dermatologia},"Exemplo: considerado um centro de referência nacional e internacional na área de dermatologia geral e, em particular, da hanseníase."
 Tratado da pele.  {c1::dermatologia},"Exemplo: considerado um centro de referência nacional e internacional na área de dermatologia geral e, em particular, da hanseníase."
"A morte já foi definida como a cessação dos batimentos cardíacos (parada cardíaca) e da respiração, mas o desenvolvimento de RCP e {c1::desfibrilação} imediata tornaram essa definição inadequada porque a respiração e os batimentos cardíacos às vezes podem ser reiniciados.",
"A bioengenharia estuda e desenvolve instrumentos essenciais à manutenção da vida como esfigmomanômetros, hemodiálise, bombas infusoras ou bomba de infusão, bombas de sangue, pulmões artificiais (ventiladores)'', {c1::desfibrilador}es, incubadoras neonatais, etc.",
 Acto de desidratar.  {c1::desidratação},"Exemplo: Esse tipo de estresse pode levar a crises cardíacas, cãibras, desconforto, desidratação e exaustão, entre outros efeitos, e se torna um agravante de moléstias preexistentes."
 Acto ou efeito de desinfectar.  {c1::desinfecção},"Exemplo: A qualidade da água fornecida nem sempre satisfaz os parâmetros de qualidade exigidos: se, por um lado, mais de 84% da população servida se encontrava servida por sistemas de tratamento, por outro, cerca de 80% da água distribuída era apenas sujeita a desinfecção por cloragem, sem um controle significativo."
Joseph Lister]] foi o primeiro a usar {c1::desinfetante} fenol em feridas abertas de pacientes.,
" Deslocamento do coração para o lado direito, em consequência de um tumor intra-torácico ou de outro incidente mórbido.  {c1::dextrocardia}","Exemplo: Grande parte do volume do coração está ligeiramente orientado para o lado esquerdo do tórax, embora muito raramente possa estar orientada para o lado direito."
" Conhecimento ou determinação de uma doença, pela observação dos seus sintomas. Conjunto dos sintomas, em que se funda essa determinação.  {c1::diagnóstico}","Exemplo: quot;A produção agrícola tornou-se, igualmente, um dado fundamental para compor um diagnóstico da economia da Amazônia."
"A ausência de deleção do braço longo do cromossomo 5 (del 5q, t(3;3), inv(3)) também pode ser interessante no {c1::diagnóstico diferencial}, uma vez que afasta Síndrome Mielodisplásica.",
"evidente a diferença entre as concepções de Aristóteles sobre a arte da oratória entre o Livro I e o Livro II, enquanto neste último destaca o estudo das paixões, desfazendo a caracterização da retórica como puramente {c1::dialética}, no Livro I Aristóteles valoriza a função da sedução da alma.",
" Acto de dialisar. Faculdade que possuem as membranas, de deixar passar através dos seus poros certas substâncias, com exclusão de outras. Cf. _Museu Techn._, 90.  {c1::diálise}","Exemplo: lt;/ref&gt; Alguns anticoagulantes são usados ​​em equipamentos médicos, como tubos de amostra, bolsas de transfusão de sangue, máquinas coração-pulmão e equipamentos de diálise."
"A '''{c1::diapedese}''' (Grego DIAPÉDESIS, “ato de saltar através”, DIA, “através”, mais PEDAN, “pular, saltar”) é a passagem dos leucócitos do sangue para o tecido conjuntivo.",
" Modo de empregar o que é necessário à conservação da vida, tanto em saúde como em doença. Hvgiene. Abstenção de alguns ou de todos os alimentos, em caso de doença. Privação de alimento.  {c1::dieta}","Exemplo: Os castanhos e os pretos são causados por melaninas sintetizadas pela ave e depositados em grânulos, enquanto os amarelos, laranjas e vermelhos são causados por carotenoides com origem na dieta e difundidos pela pele e penas."
"volume=44|página=515-521|ano=2000|issn=1696-3547}} nos nossos dias estuda o controle genético do crescimento e {c1::diferenciação celular} e da morfogênese, o processo que dá origem aos tecidos, órgãos e à anatomia em geral.",
 Acto de difundir. Prolixidade.  {c1::difusão},"Exemplo: lt;ref name=corr21b /&gt; Os militantes da Aliança da Democracia Socialista, atuando através da AIT, tiveram um papel determinante na difusão do anarquismo em diversas partes do mundo, especialmente na Europa, atuando de maneira significativa para o estabelecimento e crescimento das seções da Internacional na Espanha, Itália, Portugal e Suíça, onde ocorreram os primeiros grandes marcos históricos do movimento anarquista."
" Elaboração dos alimentos nas vias digestivas, ou função orgânica, caracterizada pela dissolução, liquefacção, e absorção dos alimentos, com dejecção dos resíduos. Acto de digerir, (em sentido fig).  {c1::digestão}","Exemplo: A digestão das aves é bastante rápida, de modo a não interferir com o voo."
"Ao contrário da aspiração uterina à vácuo, que pode ser realizada em consultórios ou clínicas, a {c1::dilatação e curetagem} é um procedimento cirúrgico, devendo ser realizado em um hospital com bloco cirúrgico.",
" Corrimento menstrual, difícil e doloroso. Dificuldade da menstruação.  {c1::dismenorreia}","Exemplo: Também se descreveu que o castóreo pode se usar contra a dismenorreia e condições histéricas —referentes ao útero—, já que eleva a pressão sanguínea e incrementa o ritmo cardíaco."
 Dificuldade na digestão. Má digestão.  {c1::dispepsia},"Exemplo: A kava é usada pelos tonganeses na prevenção e cura de doenças como dores de cabeça, hemoglobinúria malária, tuberculose, lepra, câncer, asma, indigestão e insônia."
