Term,Example Sentence
Anticorpo,"Bernardo Houssay]], o primeiro latino-americano premiado com um Prêmio Nobel em Ciências, descobriu o papel dos hormônios da hipófise na regulação da glicose em animais; César Milstein fez uma extensa pesquisa sobre anticorpos; Luis Leloir descobriu como os organismos armazenam energia convertendo glicose em glicogênio e em compostos que são fundamentais no metabolismo de carboidratos."
Antídoto,"Os livros II a VI tratam, respectivamente, sobre a astronomia e a geografia; os livros VII a XI, tratam sobre a zoologia; os XII a XIX, sobre a botânica e a agricultura; os XX a XXVII, sobre apenas a botânica médica; os livros XXVIII a XXXII descrevem diferentes remédios e antídotos retirados de diferentes animais e do próprio homem; e os livros XXXIII a XXXVII tratam unicamente sobre mineralogia e metais."
Antigénio,"Os anticorpos são componentes proteicos do sistema imunitário adquirido, cuja função principal é ligar a si antigénios ou outras substâncias estranhas ao corpo, marcando-os para serem destruídos."
Antinflamatório,"Trata-se de um agente antinflamatório único porque é muito eficaz contra a artrite gotosa, estando também indicado nas crises agudas de gota e como agente profilático."
Antitóxico,"criada também, a Coordenadoria de Comunicação Social como órgão de assistência direta e imediata do Ministro de Estado e instituído o Conselho de Prevenção Antitóxico, como órgão colegiado, diretamente subordinado ao Ministro de Estado."
Aparelho de pressão arterial,NA
Aparelho de raio X portátil,NA
Apatia,"Na verdade, eles argumentaram que a oligarquia da elite é a lei inflexível da natureza humana, em grande parte devido à apatia e divisão das massas (em oposição à unidade, a iniciativa e a unidade das elites), e que as instituições democráticas não fariam mais do que mudar o exercício do poder de opressão à manipulação."
Apendicectomia,"Após uma apendicectomia de rotina, contraiu peritonite, fazendo com que caísse em coma durante dias."
Arritmia,"Pesquisadores sugerem que Hitler sofria de vários males, incluindo síndrome do cólon irritável, lesões na pele, arritmia cardíaca, aterosclerose,{{sfn|Evans|2008|p=508}} doença de Parkinson,{{sfn|BBC News, 1999}}{{sfn|Bullock|1962|p=717}} sífilis,{{sfn|Bullock|1962|p=717}} arterite de células gigantes com arterite temporal{{sfn|Redlich|1993}} e acufeno."
Artéria,"A chamada estrada do anel, a principal artéria do país, que interliga cerca de 60% da população, foi restaurada."
Artrite,"por isso, um agente anti-inflamatório, podendo ser utilizado no caso de lesões desportivas, traumas, artrites e outros tipos de inchaços."
Asma,"João VI]] tivesse trazido alguns bons médicos para o Rio de Janeiro, era do &quot;tipo caseiro&quot;: rodelinhas de limão nas frontes para enxaquecas, suadouros de sabugueiro e quina, para as febres: cataplasmas contra a asma: antipirina para as dores de cabeça; banhos de malva para as dores nas cadeiras; um &quot;cordial&quot; contra a insônia e, para os loucos, o Hospício, na Praia Vermelha."
Aspirador cirúrgico,NA
Asseptização,NA
Astenia,"A partir de Fevereiro de 1900, apresentava, contudo, sintomas bastante debilitantes — dor estomacal, diarreia, febre, nevralgias, inchaço dos pés, falta de apetite e astenia."
Ataxia,"UFBA), ''Determinação do teor de ácido cianídrico em folhas de mandioca (Manihot esculenta Crantz) desidratadas'', Natal, Associação Brasileira de Química - Seção Regional do Rio Grande do Norte (ABQ-RN), 2007], consultado em 2017-11-15 composto extremamente volátil, porém, altamente tóxico podendo em pequenas quantidades provocar ataxia e morte Isto deve-se ao fato de que os cianetos iónicos se coordenam com íons férricos contidos no citocromo oxidase III da mitocondria, impedindo a redução do oxigênio em água da cadeia transportadora de elétrons, matando a pessoa exposta por sufocamento."
Ateroma,"jpg|thumb|A doença arterial coronária é causada por aterosclerose, a acumulação de placas de material degenerativo nas artérias do coração."
atia,imagem:Atia Balba Caesonia.
Atrofia muscular,"Diversas doenças causam uma diminuição da massa muscular, conhecida como atrofia muscular."
Ausculta,"O diagnóstico é confirmado com um eletrocardiograma que revela anomalias da condução cardíaca existentes em todas essas doenças, e pela ausculta cardíaca."
Autoclave,"Em cirurgias são utilizados equipamentos desenvolvidos por bioengenheiros: bisturis convencionais e eletrônicos, espéculos dos mais diversos, catéteres, bombas de vácuo, coaguladores eletrônicos, desfibriladores, marca passos, autoclaves etc."
Bacteremia,"As capivaras hospedeiras, ao serem infectadas por carrapatos vetores, apresentam bacteremia por até três semanas, podendo evoluir ao óbito ou à cura."
Bactéria,"Outros cultivos transgênicos usados pelos produtores incluem cultivos resistentes a insetos, que possuem um gene da bactéria do solo ''Bacillus thuringiensis'' (Bt), que produz uma toxina específica para insetos."
Balança,"A Balança Comercial que representa a contabilidade de entrada e saída de bens tangíveis, no período de 2003 a 2009 apresentou um desempenho com um superávit de 74,4%."
Balanite,"editor-sobrenome2 =Koyle|editor-nome2 =Martin|editor-sobrenome3 =Yosha|editor-nome3 =Assaf | name-list-format = vanc |título=Surgical Guide to Circumcision|data=2012|publicado=Springer-Verlag|local=London|isbn=978-1-4471-2858-8|páginas=243–259|capítulo=Chapter 21: Why Circumcision:From Prehistory to the Twenty-First Century}}{{rp|257}} A circuncisão também pode ser realizada em crianças ou adultos para tratar fimose, balanite ou para prevenir a transmissão de infecções sexualmente transmissíveis."
Bandeja de instrumentos,NA
Bariatria,NA
Barreira hematoencefálica,"Não possui a barreira hematoencefálica típica do encéfalo, o que os tornam vulneráveis a doenças sistêmicas."
Bexiga,"As aves não têm bexiga nem uretra exterior, pelo que (à exceção das avestruzes) o ácido úrico é expelido em conjunto com as fezes em dejetos semissólidos."
Bilirrubina,"Há cerca de 5 milhões de eritrócitos em um milímetro cúbico de sangue humano; eles são produzidos numa velocidade de 2 milhões por segundo por um tecido especial que se localiza na medula óssea de quase todos os ossos no recém nascido, e apenas nos ossos axiais em adultos (arcos costais, corpo vertebral, esterno e ílio) o tecido hematopoiético, e as partículas velhas são destruídas e removidas pelo baço liberando bilirrubina."
Biópsia,Diversos exames de medula óssea podem ser realizados através de biópsia para diagnóstico de uma doença.
Bioquímica,"Já existem vários indícios de que a salinidade está diminuindo em vários mares do mundo, com impacto potencial mas indeterminado sobre a bioquímica marinha."
Bisturi,"Ela pode ser mecânica, com a utilização de pincéis, flanelas, aspirador de pó, bisturi, pinça, espátula, cotonetes, borracha de vinil, luvas, máscaras, papel mata-borrão, pesos, cola metilcelulose, etc."
Bócio,"O iodeto de potássio, KI, é adicionado ao sal comum, NaCl (mistura denominada de sal iodado), para prevenir o surgimento do Bócio endêmico, doença causada pela deficiência de iodo na dieta alimentar."
Bombas de infusão,"Os equipamentos comuns em unidade de terapia intensiva (UTI) incluem os seguintes equipamentos: equipamentos de ventilação mecânica, que auxiliam na respiração através de um tubo endotraqueal ou traqueotomia, equipamentos de hemofiltração, avançado equipamento de monitorização cardiovascular (eletrocardiograma, oxigenação, pressão arterial invasiva e não invasiva, temperatura e capnografia), monitorização hemodinamica invasiva (cateter de Swan-Ganz); vias endovenosas para infusões de drogas injetáveis e nutrição parenteral, sonda nasogástrica e entérica, sondas vesicais, bombas de sucção, drenos, cateteres, desfibrilador, cardioversor, bombas de infusão e uma grande variedade de drogas, incluindo drogas vasoativas (inotrópicos, por exemplo), sedativos, antibióticos, analgésicos, antiarritímicos, soros, sangue e derivados, reguladores de pH, anti-inflamatórios esteroidais e não esteroidais, anti-histamínicos, etc."
Bradicardia,O ritmo cardíaco anormalmente baixo denomina-se bradicardia.
Broncoespasmo,"Os efeitos colaterais físicos do uso crônico de cocaína em forma de crack incluem hemoptise (sangue expelido por tosse), broncoespasmos, coceira, febre, eosinofilia pulmonar e sistêmica, dor no peito, trauma pulmonar, dor de garganta, asma, voz rouca, dispneia (falta de ar) e sintomas semelhantes à gripe, como coriza e congestão nasal."
Cálcio,"lt;ref name=&quot;PhysicalScienceSummary&quot;/&gt; Este fenômeno é especialmente daninho para os animais que utilizam sais de cálcio para construir suas conchas e estruturas corporais, destacando-se entre eles os corais, os moluscos e crustáceos, bem como muitas espécies de plâncton, que têm essas estruturas dissolvidas ou malformadas pela elevada acidez da água."
Cama hospitalar,"Por exemplo, proteções nas laterais de uma cama hospitalar previnem que pacientes rolem durante o sono e caiam."
Câmara escura para radiografia,NA
Campo cirúrgico,"lt;ref name=&quot;:0&quot; /&gt; Idealmente, um campo cirúrgico é estéril, o que significa que está livre de todos os contaminantes biológicos (nomeadamente, fungos, bactérias e vírus), não apenas aqueles que podem causar doenças, putrefação ou fermentação."
Câncer,"A América Latina está toda localizada no hemisfério ocidental, sendo cortada pelo Trópico de Câncer, o qual atravessa o centro do México, pelo Equador, o qual corta o Brasil, Colômbia, Equador e pelo qual é tocado o norte do Peru; pelo Trópico de Capricórnio, o qual corta o Brasil, o Paraguai, a Argentina e o Chile."
Cânula,"Assim, as tendas de oxigénio eram antes empregues como suplementos de oxigénio, mas foram substituídas pelas máscaras de oxigénio e cânulas nasais."
Cânula de traqueostomia,"jpg|thumb|300px|A pressão de insuflação máxima do balonete da cânula de traqueostomia deverá ser de 27 cmH2O, ou convertendo 20 mmHg."
Cardiologia,"option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, hemodiálise e transplante de órgãos;{{citar web|url=http://www."
Cárie,"sfn|Case|2003|p=37}} Embora os gatos tendam a ter dentes melhores do que a maioria dos humanos, com cárie geralmente menos provável por causa de uma camada protetora mais espessa de esmalte, uma saliva menos prejudicial, menos retenção de partículas de alimentos entre os dentes e uma dieta quase sem açúcar, estão sujeitos à perda ocasional de dentes e infecção."
Catarro,"Bronquiectasia (isto é, dilatação dos brônquios com a presença de catarro) e marcas pleurais podem estar presentes."
Cateter,"Isso pode ser feito com uma injeção usando uma seringa, ou inserindo um cateter (tubo flexível)."
Cauterização,"Microcirurgia cardiológica, esta para realização de cirurgias ambulatoriais de pequena complexidade, como cauterização de varizes e vasos pequenos."
Cefaleia,"Artralgia]], mialgia, náusea, vômito, cefaleia."
Celulite (infecciosa),NA
Cervicite,"lt;ref name=Mer2018/&gt; Para o diagnóstico deve ser excluída a presença de outras doenças que manifestam sintomas semelhantes, como a inflamação do colo do útero, a doença inflamatória pélvica, o cancro, a presença de corpos estranhos ou doenças da pele."
Cicatrização,"Em organismos multicelulares, as células podem se mover durante processos como a desenvolvimento embrionário, assim como na cicatrização de feridas, na manutenção tecidual, no funcionamento do sistema imune e na metástase do câncer."
Ciclo Cardíaco,"shtml|website=Atlas of Human Cardiac Anatomy|acessodata=7 de março de 2016}} Durante a fase de relaxamento do ciclo cardíaco, os músculos papilares estão igualmente relaxados e a tensão nas cordas tendinosas é reduzida."
Cirurgia,sfn|Fox|Keck|2004|p=70}} Recusou a cirurgia dizendo: &quot;Quero ir quando eu quiser.
Cistite,"O animal afetado apresenta problemas inflamatórios no sistema urinário, dentre os quais destacam-se a cistite, uremia e formação de cálculos renais e na bexiga."
Citologia,"Foram também desenvolvidas técnicas de coloração com corantes artificiais que vieram permitir distinguir com maior facilidade os vários tipos de células e que, no fim do {{séc|XIX}} , deram origem aos campos da citologia e histologia."
Clareamento dental,br/como-clarear-os-dentes-com-clareamento-dental-caseiro/  “Clareamento dental“] Revisado.
Coagulopatia,"A analgesia peridural é contraindicada em pessoas com infecções, como celulite próxima ao local da injeção ou coagulopatia grave."
Colectomia,"lt;ref name=NIH2014/&gt; Nos casos mais graves, em que a doença não responde ao tratamento ou quando surgem complicações como cancro do cólon, pode ser necessária a remoção cirúrgica do cólon."
Colostomia,"A designação do tipo de estomia é definida pelo tipo de órgão ou víscera que será exposto: colostomia (cólon), ileostomia (íleo), gastrostomia (estômago), nefrostomia (rim), ureterostomia (ureter), vesicostomia (bexiga), cistostomia (bexiga com uso de cateter) ou traqueostomia (traquéia), entre outras."
Colposcópio,Colposcopia''' (do grego ''kolpos'' vagina e ''skopos'' observar) é um procedimento médico diagnóstico para avaliar o colo do útero (cérvix) e os tecidos da vagina e vulva por via de um instrumento que amplia e ilumina estas estruturas (colposcópio).
Comorbidade,periódico=Psychiatry |volume=6 |número=5 |páginas=46–50 |ano=2009 |pmc=2719439 |pmid=19724735}} Há uma alta incidência de comorbidade naqueles com distimia.
Complicação,"Tem horror a toda complicação, a toda a cerimônia, a todo fausto."
Condiloma,"Em áreas úmidas do corpo se forma uma erupção cutânea larga e plana chamada de ''condiloma lata,'' ou condiloma plano."
Conjuntivite,"Segundo os seus diários pessoais e anotações deixadas pelos seus contemporâneos, os sintomas desta doença (ardor doloroso quando se urina, dor e inchamento das pernas, e conjuntivite) eram claramente evidentes nos três últimos anos da sua vida."
Constipação,"A via oral pode causar cólica, náusea, constipação ou diarreia ou escurecimento dos dentes, mas isso é reversível após a suspensão do medicamento."
Conta-gotas,O FDA aconselhou os fabricantes de suplementos de vitamina D líquidos que os conta-gotas que acompanham esses produtos devem ser marcados de forma clara e precisa para 400 unidades internacionais (1 UI é o equivalente biológico de 25&amp;nbsp;ng de colecalciferol/ergocalciferol).
Contaminação,"O resíduo das coberturas foi medido em níveis de 50 a 260 kg por hectare no solo superficial em áreas onde a cobertura foi usada por mais de 10 anos, o que confirma que a cobertura plástica é uma das principais fontes de contaminação microplástica e macroplástica do solo."
Contraste (radiológico),NA
Convalescença,"Passou algum tempo em convalescença em Glion, na Suíça, e depois retorna à França."
Convulsão,"Luís I morreria em 840, com o império em convulsão."
Coriorretinite,Uveíte posterior''' ou '''coriorretinite''': é a inflamação da retina e da coroide.
Corticoide,"O desenvolvimento dos tecidos adiposo e conectivo aumenta sob a influência de outros hormônios, como a progesterona, prolactina, corticoides e hormônio do crescimento."
Criocirurgia,A criocirurgia é agressiva e pode causar úlceras importantes.
Criptorquidia,"Apresenta-se com hipoglicemia, icterícia prolongada, anomalias congénitas, micropênis e/ou criptorquidia (ausência de testículos), convulsões, hipotensão e / ou défice  cognitivo."
Crónico,"Entretanto, devido ao congestionamento crónico verificado durante as décadas de 1970 e 1980, o centro histórico de Roma condiciona o tráfego numa zona designada de ZTL, ''Zona de Tráfego Limitada'': apenas se pode circular com a viatura dentro da ZTL em horários específicos."
Cura,Leuca tinha a reputação de ser um lugar de cura; Pausânias relata que a pítia délfica teria enviado um nobre de Crotona para se tratar de um ferimento no peito.
Cureta periodontal,NA
Curetagem,"Ficou internada por três semanas, tendo que fazer curetagem, devido ao aborto mal feito, que quase a matou."
Cútis,"A '''pele''', '''cútis''' ou '''tez''', em anatomia, é o órgão integrante do sistema tegumentar (junto ao cabelo e pelos, unhas, glândulas sudoríparas e sebáceas), que tem por principais funções a proteção dos tecidos subjacentes, regulação da temperatura somática e ainda conter terminações nervosas sensitivas."
De,"jpg|thumb|Formação estrelar na Grande Nuvem de Magalhães, uma galáxia irregular."
Débito cardíaco,"Nos exercícios dinâmicos, as contrações musculares são seguidas de movimentos articulares, o que não leva a obstrução de fluxo sanguíneo, mas durante o exercício ocorre aumento da frequência cardíaca, que é proporcional ao tamanho da massa muscular do exercitado (quanto maior a massa muscular, maior o aumento da frequência cardíaca) e menor o aumento da pressão arterial, que é uma consequência do não aumento da frequência periférica, aumento do débito cardíaco e volume sistólico, sendo que essas respostas variam de acordo com a intensidade do exercício."
Decúbito,"Em Taforalt (Oujda), as ferramentas encontradas datam de {{AC|30-20000|nl}} Ritos funerários são identificados: os mortos têm o corpo em decúbito lateral e ossos pintados."
Defecação,"isbn=9780889209121|página=315}} A etiqueta bíblica do banheiro incentiva a lavagem após todas as ocorrências de defecação, daí a invenção do bidê."
Deglutição,"Depois que o alimento é mastigado em um bolo, ele é engolido e movido através do esôfago."
Demografia,Apontamentos para história da família e demografia histórica da Capitania do Grão-Pará (1750-1790).
Dente de leite,"Os dentes, que são geralmente diferenciados, são revestidos por uma camada de esmalte e geralmente são substituídos uma vez na vida, ou não, como no caso dos cetáceos."
deo,Ficheiro:Fortaleza vista da Torre Deo Passeo.
Depressão,"Tem sido demonstrado que eventos deste tipo podem desencadear sérias perturbações, tais como crises de ansiedade, distúrbios do sono, depressão, estresse, risco aumentado de suicídio, de surtos de violência social e de consumo de drogas, que se assemelham à síndrome pós-traumática, estado clínico severo que pode levar vários anos para ser superado após um evento concreto desencadeante, como uma inundação."
Dermabrasão,"Alguns tratamentos de acne e rugas com relatos de terem causado rosácea incluem micro-dermabrasão e peelings químicos, bem como altas doses de isotretinoína, peróxido de benzoíla e ácido retinoico."
Dermatologia,"considerado um centro de referência nacional e internacional na área de dermatologia geral e, em particular, da hanseníase."
Desfibrilação,"A morte já foi definida como a cessação dos batimentos cardíacos (parada cardíaca) e da respiração, mas o desenvolvimento de RCP e desfibrilação imediata tornaram essa definição inadequada porque a respiração e os batimentos cardíacos às vezes podem ser reiniciados."
Desfibrilador,"A bioengenharia estuda e desenvolve instrumentos essenciais à manutenção da vida como esfigmomanômetros, hemodiálise, bombas infusoras ou bomba de infusão, bombas de sangue, pulmões artificiais (ventiladores)'', desfibriladores, incubadoras neonatais, etc."
Desidratação,"Esse tipo de estresse pode levar a crises cardíacas, cãibras, desconforto, desidratação e exaustão, entre outros efeitos, e se torna um agravante de moléstias preexistentes."
Desinfecção,"A qualidade da água fornecida nem sempre satisfaz os parâmetros de qualidade exigidos: se, por um lado, mais de 84% da população servida se encontrava servida por sistemas de tratamento, por outro, cerca de 80% da água distribuída era apenas sujeita a desinfecção por cloragem, sem um controle significativo."
Desinfetante,Joseph Lister]] foi o primeiro a usar desinfetante fenol em feridas abertas de pacientes.
Dextrocardia,"Grande parte do volume do coração está ligeiramente orientado para o lado esquerdo do tórax, embora muito raramente possa estar orientada para o lado direito."
Diagnóstico,"quot;A produção agrícola tornou-se, igualmente, um dado fundamental para compor um diagnóstico da economia da Amazônia."
Diagnóstico diferencial,"A ausência de deleção do braço longo do cromossomo 5 (del 5q, t(3;3), inv(3)) também pode ser interessante no diagnóstico diferencial, uma vez que afasta Síndrome Mielodisplásica."
Dialética,"evidente a diferença entre as concepções de Aristóteles sobre a arte da oratória entre o Livro I e o Livro II, enquanto neste último destaca o estudo das paixões, desfazendo a caracterização da retórica como puramente dialética, no Livro I Aristóteles valoriza a função da sedução da alma."
Diálise,"lt;/ref&gt; Alguns anticoagulantes são usados ​​em equipamentos médicos, como tubos de amostra, bolsas de transfusão de sangue, máquinas coração-pulmão e equipamentos de diálise."
Diapedese,"A '''diapedese''' (Grego DIAPÉDESIS, “ato de saltar através”, DIA, “através”, mais PEDAN, “pular, saltar”) é a passagem dos leucócitos do sangue para o tecido conjuntivo."
Dieta,"Os castanhos e os pretos são causados por melaninas sintetizadas pela ave e depositados em grânulos, enquanto os amarelos, laranjas e vermelhos são causados por carotenoides com origem na dieta e difundidos pela pele e penas."
Diferenciação celular,"volume=44|página=515-521|ano=2000|issn=1696-3547}} nos nossos dias estuda o controle genético do crescimento e diferenciação celular e da morfogênese, o processo que dá origem aos tecidos, órgãos e à anatomia em geral."
Difusão,"lt;ref name=corr21b /&gt; Os militantes da Aliança da Democracia Socialista, atuando através da AIT, tiveram um papel determinante na difusão do anarquismo em diversas partes do mundo, especialmente na Europa, atuando de maneira significativa para o estabelecimento e crescimento das seções da Internacional na Espanha, Itália, Portugal e Suíça, onde ocorreram os primeiros grandes marcos históricos do movimento anarquista."
Digestão,"A digestão das aves é bastante rápida, de modo a não interferir com o voo."
Dilatação e curetagem,"Ao contrário da aspiração uterina à vácuo, que pode ser realizada em consultórios ou clínicas, a dilatação e curetagem é um procedimento cirúrgico, devendo ser realizado em um hospital com bloco cirúrgico."
Dismenorreia,"Também se descreveu que o castóreo pode se usar contra a dismenorreia e condições histéricas —referentes ao útero—, já que eleva a pressão sanguínea e incrementa o ritmo cardíaco."
Dispepsia,"A kava é usada pelos tonganeses na prevenção e cura de doenças como dores de cabeça, hemoglobinúria malária, tuberculose, lepra, câncer, asma, indigestão e insônia."
Displasia cervical,"A displasia cervical do útero é uma alteração pré-neoplásica do colo do útero causada por alguns tipos de papilomavírus e, evolui frequentemente para cancro em alguns anos (no entanto mais de metade acaba por desaparecer sem complicações)."
Dispnéia,"Nos casos mais graves, essa doença pode causar a perda da  capacidade pulmonar, além de tosse, infecções, dispnéia e distúrbios cardíacos."
Distensão,"Muitos comportamentos das aves são universais e ocorrem invariavelmente em praticamente todas as espécies de aves, como é o caso dos cuidados com as penas, os movimentos de distensão das pernas, asas ou caudas, os banhos de água e poeira, ou o movimento que sacode o corpo."
Distensão abdominal,"Os cães infectados podem apresentar postura encurvada com distensão abdominal, lerdeza, pelagem áspera, perda de peso, fezes brancas ou de coloração clara e diarreia, respiração acelerada e gastrenterite."
Diurese,A diurese excessiva e a sede intensa são típicos da DI.
Diurético,"Fármacos: Antiarrítmicos, Antibióticos (Penicilina), Anticonvulsivos (Valproate do sódio e Lamotrigine), Antidepressivos, Anti-hipertensivos, Antipsicóticos (Clozapine), Bupropion, Cortisona, Diuréticos (Hidroclorotiazida), Imunossupressores (Sirolimus, Mofetil do Mycophenolate, Tacrolimus e Cyclosporine), Interferonas, Minocycline e tranquilizantes."
Diverticulite,"Isso se deve à capacidade limitada do organismo na absorção de ferro e à frequência da perda de ferro por hemorragia do sistema digestório (úlcera, colite, diverticulite, câncer), menstruação abundante, verminose, múltiplas gestações, estirão de crescimento."
Doença,"sfn|Mih|2000|p=51}} Para Einstein, &quot;a guerra era uma doença, e ele sempre apelou para a resistência contra a guerra&quot;."
Dorsalgia,"Revisões sistemáticas]] de estudos clínicos controlados de tratamentos quiropráticos não encontraram evidência de eficácia para qualquer condição médica, com a possível exceção do tratamento para dor nas costas."
Drenagem linfática,A drenagem linfática das mamas drena os linfonodos da axila.
Duodenoscopia,NA
Eclampsia,"Proposta a inclusão do salicilato como micronutriente essencial{{citar periódico |título=Rapid Responses to: Aspirin protects women at risk of pre-eclampsia without causing bleeding |autor=Abbasi, Kamran |jornal=British Medical Journal |volume=327 |ano=2003|página=7424|doi=10."
Ecografia,"Nos últimos séculos, os métodos de observação evoluíram de forma significativa, desde a dissecação de carcaças e cadáveres até às técnicas modernas de imagiologia médica, entre as quais radiografia, ecografia e ressonância magnética."
Ecopraxia,A '''ecopraxia''' (do grego ''echo'' (repetição) e ''praxia'' (ação)) é a repetição involuntária ou a imitação dos movimentos de outras pessoas.
Edema,"A toxina causadora de edema é composta de uma porção que reconhece o receptor especifico na célula alvo, sendo internalizada por endocitose, e outra com actividade de adenilato ciclase, promovendo a secreção de líquidos."
Edema pulmonar,"Uma exposição aguda a altas concentrações de cloro ( porém não letais ) pode provocar edema pulmonar, ou líquido nos pulmões."
Efeito placebo,"O efeito farmacológico é contudo duvidoso, sendo que a explicação mais viável a haver está normalmente associada ao efeito placebo."
Efusão,JPG|thumb|Batismo infantil por efusão em uma Igreja Católica na Venezuela]][[Ficheiro:Baptism_at_Northolt_Park_Baptist_Church_(cropped).
Eletrocardiógrafo,"O HMIR conta com vários equipamentos sendo eles: eletrocardiógrafo, desfibrilador, carro de emergência, monitores multiparâmetros, foco cirúrgico móvel, maca para emergência com grades, oxímetro de pulso e incubadora de teste biológico 3m, visando atender cada vez mais os serviços de saúde da população."
Eletrocardiograma,"text bytes=""3542"" xml:space=""preserve"">{{Info/Especialidade médica|título=Cardiologia|foco=Coração e seu bom funcionamento|sistema=Cardíaco|testes=Eletrocardiograma, monitorização ambulatorial da pressão arterial (MAPA), holter, ecocardiograma e outros."
Eletrocautério,"Cauterização elétrica''', utilizando um eletrocautério na região do sangramento após anestesia local."
Eletrocauterização,"Destas, os problemas mais frequentes são a ligadura (ou clipagem) acidental, a lesão térmica (devido ao uso de eletrocauterização) ou a migração de cálculos para a via biliar principal, o coleperitônio e o trauma do duodeno, cólon ou estômago."
Eletrocoagulação,"Pode ser através da aplicação de substâncias cáusticas para a cauterização química, eletrocoagulação, laser ou retirada cirúrgica com fechamento por sutura (pontos)."
Embriologia,"Está ligada à embriologia, à anatomia comparada, à biologia evolutiva e à filogenia, uma vez que são estes os processos que geram a anatomia."
Emergência,"Em águas rasas, como as que cobrem a parte ocidental da plataforma continental da Sibéria, sua emergência não sofre neutralização significativa e o metano acaba escapando para a atmosfera."
Emergência médica,"asp#|arquivodata=19 de maio de 2011|urlmorta=yes}} Os serviços de emergência do National Health Service (NHS) são fornecidos pelo London Ambulance Service (LAS), um dos maiores serviços de emergência do planeta."
Empiema,"A lesão poderá evoluir rapidamente de maneira a perfundir os tecidos duros até as fáscias, gerando transtornos mais sérios como o abscesso subperiósteo, empiema maxilar, linfadenopatia, celulite, septicemia e até mesmo a angina de Ludwig, que pode ser fatal se não tratada adequadamente."
Encefalite,"isbn=9781405147156|pmc=7152364}} Entre as principais viroses humanas estão: gripe, hepatite (A, B e C), caxumba, sarampo, varicela (catapora), SIDA (AIDS), raiva, dengue, febre amarela, poliomielite (paralisia infantil), rubéola, meningite, encefalite, herpes, pneumonia, entre outras doenças."
Endarterectomia,"O exame está indicado, de modo preventivo em todo os indivíduos com mais de 50 anos,  nos pacientes que tenham sido vítimas de ataque isquémico transitório ou de acidente vascular cerebral, ou naqueles em se detectem sopros na região cervical,  ou estejam sob vigilância pacientes por antecedentes de estenose carotídea, angioplastia carotídea e endarterectomia."
Endemia,"são agentes comunitários de saúde, e 1 200 fazem o serviço de controle de endemias, como a dengue."
Endocrinologia,"Alguns fisiologistas como Claude Bernard investigaram as funções químicas e físicas dos organismos vivos, recorrendo a métodos experimentais como a vivissecção e lançando as fundações da biomecânica e da endocrinologia, disciplina em rápida ascensão depois da descoberta da primeira hormona em 1902."
Endometrite,"As complicações são raras e podem incluir perfuração uterina, infecção pélvica e retenção dos produtos da concepção necessitando de um segundo procedimento para evacuá-los."
